Dim1,Dim2
-46.231712,-45.361027
54.3959,13.45412
-61.610718,22.567945
24.114328,-31.551826
35.154514,-23.18683
33.625652,-33.570236
69.51218,-36.892162
-5.7059164,54.872746
-29.369556,-0.42796952
21.756226,-43.449944
8.825916,-50.10771
37.266865,-37.96586
47.519848,-6.355212
-15.147807,1.8535941
3.7859902,-44.57664
-2.311047,55.497982
68.68644,-12.516214
5.829062,-75.50122
-30.256483,32.859406
64.85148,-33.195812
-20.915632,-43.92663
55.48393,16.55721
-34.185448,-3.572271
36.81306,56.012344
5.630664,-40.935295
-46.33208,26.753153
-68.8304,13.00138
-54.343323,-31.549103
7.1946135,39.83362
36.133286,3.980764
36.292896,-39.618492
-16.254223,37.44551
75.557625,-0.9851422
-69.88291,35.980064
29.744627,1.9206983
34.04754,-44.25181
52.484272,24.58936
6.2914433,10.972479
-1.8713819,32.067066
21.55807,51.247383
-14.451216,38.367916
33.65885,-46.8775
26.222363,12.537921
-17.26148,-67.82777
-5.653758,21.455805
51.37177,15.946008
6.5072565,44.769985
-57.040768,13.755673
31.614653,-34.692097
80.085014,-12.060728
-57.59681,-36.374577
21.77693,14.093939
20.442905,-23.950445
12.414329,-7.3506274
30.495516,-0.8510357
-56.320553,-6.5182843
-30.65287,44.25848
-50.415607,-52.655117
47.48682,59.554195
83.28519,0.87229073
39.733536,-20.029049
24.371437,-31.444422
-55.68609,-56.51787
70.071075,-15.663239
-55.5889,-56.09784
1.8847713,-80.39948
79.38024,-16.279058
-17.970411,-66.971085
-33.279934,5.3769655
0.65557337,40.224606
-54.2264,29.152252
-21.541393,-24.98346
-20.79278,-34.886852
-69.226074,36.845535
9.611774,-73.57114
35.122677,-32.542286
56.226677,-28.018639
66.80137,23.448343
-56.387657,8.260518
-22.126347,-15.573166
-74.145805,24.45766
-74.225716,24.434843
3.2530458,20.253237
-24.782911,-57.383446
-31.276909,65.96682
-15.226654,32.188557
50.40849,41.09188
64.70592,-37.882015
-41.91494,13.884865
67.33266,25.180424
74.05202,-11.948889
-46.85674,14.608268
-75.90509,16.17454
-56.462326,25.361528
-18.224834,40.066933
44.464336,47.43525
73.24599,22.088888
-71.38018,2.3241127
21.518438,22.757286
75.69174,5.372328
-49.942806,-55.1536
90.05848,6.515191
3.2738323,42.58024
4.9541764,-48.547737
6.171078,-75.12045
-50.273262,-53.15005
33.940586,-36.25272
78.62966,-9.673869
32.858562,-33.44445
40.480793,46.02785
87.29665,7.29011
11.873993,-19.272602
-26.535334,58.90902
-3.9341736,-37.543407
-28.90397,59.61047
-73.39857,7.7698193
-45.918022,-50.075214
-14.533721,-50.141678
-8.410416,-6.273588
-59.251534,19.753803
71.3178,-0.41620123
-6.340217,45.532455
54.74019,-25.416828
-21.230276,51.04169
0.36266103,-43.43246
-22.461245,38.06385
45.0901,39.71681
-56.916817,3.094977
2.507574,12.595873
-25.653809,-33.808197
26.37279,28.684797
15.818038,15.742926
37.074425,-2.5839581
36.503723,57.836945
-60.874947,-0.40673134
6.1260667,37.993793
-25.190348,-24.37511
11.467631,-64.34641
-24.859102,49.85196
5.0261717,-72.01038
54.48448,-21.803886
-69.27389,14.016385
-7.945025,41.96759
5.909318,-40.41956
16.213604,-6.6827283
-14.55354,38.188812
31.667019,-31.142004
-38.23751,-30.552238
21.247646,7.8057013
68.78966,-33.819386
30.335966,-44.844765
-70.12005,24.276243
-17.530346,-28.639994
-67.53117,37.36805
-51.6274,-40.796535
11.115081,-6.906906
40.620422,60.75508
70.690186,-35.61007
67.83216,-35.74166
-69.6408,21.938408
-26.468143,-59.042217
-64.38209,18.60391
14.107067,-4.6691117
21.123194,16.706348
-29.288969,47.361412
51.132885,13.570733
89.87027,-5.2555213
-21.880764,-34.748085
-44.237408,10.319402
-19.068228,-35.026707
67.5855,-18.799929
65.41147,-14.824345
-72.08391,4.512474
9.533426,0.43023995
86.5014,5.1258793
-31.860329,48.682102
-66.18584,32.383087
56.04368,11.826892
-19.953362,60.68342
