Dim1,Dim2
9.545174,2.8946242
22.743881,4.0632644
17.477686,4.4553223
-8.595388,10.201913
10.460246,-20.535099
4.573357,-18.514757
4.7526345,-20.218946
5.9810925,-18.336512
5.1840687,-19.400066
0.74996924,16.006098
1.3388894,15.081387
1.8447045,15.7343025
2.2762437,-4.47199
0.91664743,-3.5170913
0.8530717,-12.601939
3.4321911,-20.045595
4.0897303,-19.429304
0.6353267,15.334688
0.6535698,15.262558
1.341125,-4.0720177
1.345031,-4.023784
-8.867259,9.721925
3.1641047,-19.31812
3.3960285,-18.98968
20.2729,9.058142
-27.554865,-4.862605
5.832129,-19.905697
-32.11729,-3.9213753
-28.058296,-4.7362294
0.7079639,-12.546389
-7.7237887,9.084675
-7.8015676,8.867448
12.843847,17.43129
-29.912407,-4.372739
-32.185986,-3.779952
-27.821253,-4.236109
-29.429022,-4.2356653
-29.678137,-3.6558366
12.7710495,17.366804
31.298918,-5.2742596
31.4914,-6.149109
31.134724,-3.9683652
-29.214043,-3.6287155
-33.5604,-1.7624284
-22.43694,-7.681303
-28.176472,0.69975764
-31.238075,1.5696776
-28.15624,1.6453965
-29.66791,1.2982118
-29.125948,1.723148
-29.913786,1.9801688
-30.088621,2.5930479
-29.209023,2.4530938
-28.532911,2.6142852
-29.670506,3.2184422
-28.902834,3.2873013
28.273102,-3.86158
-27.855824,16.831911
-29.005148,15.673769
-28.6268,16.340738
25.45893,-1.5614396
-29.974682,15.968835
-29.427748,16.740707
-28.984194,17.391232
-28.6238,18.078152
-30.327972,16.918968
-29.969707,17.650381
-31.138716,16.894306
-29.733105,18.380367
-29.250288,19.123772
-30.86021,18.027653
-30.401577,18.900581
-31.849129,17.748325
7.663839,3.9626238
-31.465546,18.710314
19.343565,12.114786
-30.131107,19.95038
-31.17054,19.500124
-32.42355,18.794737
-31.142492,20.401226
-32.159267,19.844606
10.828282,-18.229887
11.2080145,-17.553137
6.577015,-17.110466
7.6840773,12.644478
32.20024,6.0201054
8.299317,2.6631064
17.003927,10.833554
6.1524625,-0.24324235
30.570187,-5.1823997
6.230228,1.4850008
7.1578317,16.292677
-10.717412,0.27342537
28.753948,2.5963416
7.1833043,16.298456
-9.767396,1.0777465
-9.398316,2.4654348
-9.81585,1.5251356
-9.2708,1.4056827
-8.638717,2.6855855
-9.774297,3.4758453
-10.046418,3.0595775
-0.04373815,10.6013365
24.968998,7.646086
25.460104,-3.749064
11.38378,-18.45265
3.8067048,-16.543425
0.13140126,-15.216329
-34.10053,-7.655313
-4.507644,5.1212635
-4.6796455,6.272036
-36.003265,-7.2053323
-36.020462,-6.0950117
-35.81967,-5.110586
-36.37447,-4.466398
-37.719196,-6.363729
-37.1924,-5.8372073
-37.943893,-5.1409574
-37.520554,-4.758328
-37.65156,-3.9378452
-40.80239,-5.2819796
-39.04534,-4.320698
-39.990147,-4.1252303
-39.482655,-3.5435162
-41.786427,-2.722593
-41.077286,-3.6511621
-41.971066,-3.7042065
-42.491436,-3.449
-42.945374,-4.463345
-41.932915,-1.7056086
-42.717884,-1.9940274
-43.55181,-2.932049
-44.603596,-3.2092276
11.437436,1.5406462
