mcg,gvh,alm,mit,erl,pox,vac,nuc,localization.site
0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,ME2
0.36,0.34,0.46,0.19,0.5,0.0,0.52,0.22,ME2
0.83,0.57,0.42,0.57,0.5,0.0,0.5,0.32,ME2
0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,ME2
0.88,0.75,0.41,0.36,0.5,0.0,0.43,0.22,ME2
0.83,0.53,0.52,0.2,0.5,0.0,0.48,0.25,ME2
0.77,0.6,0.42,0.33,0.5,0.0,0.57,0.22,ME2
0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,ME2
0.39,0.71,0.38,0.14,0.5,0.0,0.5,0.22,ME2
0.67,0.57,0.36,0.19,0.5,0.0,0.56,0.22,ME2
0.43,0.38,0.38,0.12,0.5,0.0,0.5,0.22,ME2
0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,ME2
0.81,0.55,0.35,0.34,0.5,0.0,0.51,0.22,ME2
0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,ME2
0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,ME2
0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,ME2
0.69,0.57,0.39,0.19,0.5,0.0,0.48,0.39,ME2
0.7,0.57,0.34,0.19,0.5,0.0,0.53,0.27,ME2
0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,ME2
0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,ME2
0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,ME2
0.71,0.51,0.49,0.23,0.5,0.0,0.3,0.32,ME2
0.76,0.67,0.37,0.22,0.5,0.0,0.54,0.22,ME2
0.89,0.82,0.6,0.49,0.5,0.0,0.55,0.22,ME2
0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,ME2
0.56,0.49,0.32,0.22,0.5,0.0,0.5,0.22,ME2
0.58,0.76,0.4,0.37,0.5,0.0,0.54,0.3,ME2
0.63,0.71,0.44,0.53,0.5,0.0,0.52,0.22,ME2
0.86,0.78,0.34,0.15,0.5,0.0,0.53,0.22,ME2
0.81,0.62,0.43,0.17,0.5,0.0,0.53,0.22,ME2
0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,ME2
0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,ME2
0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,ME2
0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,ME2
0.95,0.71,0.27,0.39,0.5,0.0,0.31,0.22,ME2
0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,ME2
0.37,0.42,0.46,0.15,0.5,0.0,0.51,0.31,ME2
0.78,0.48,0.47,0.3,0.5,0.0,0.53,0.47,ME2
0.76,0.74,0.56,0.34,0.5,0.0,0.51,0.3,ME2
0.97,0.71,0.29,0.42,0.5,0.0,0.35,0.22,ME2
0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,ME2
