Dim1,Dim2
1.3087139,-2.526893
1.2714486,-2.5445395
3.0279858,-0.34293628
1.5770755,-3.2754385
2.2297046,-0.27239546
2.5635915,-1.6916026
2.3531554,-1.1754799
1.4995139,-2.1528037
1.8420701,-2.2363474
1.75823,-1.5455692
1.3212541,-2.3637967
2.4840477,-0.2328909
1.9543256,-0.9308306
2.9527385,-1.1537554
2.177058,-0.4415465
2.6410363,-0.33727095
2.3291545,-2.3003514
1.7194126,-1.5221667
2.2447343,-1.3272809
2.1072283,-0.99122953
1.6531873,-1.7406926
0.8006399,-0.48883435
1.9777992,-1.1309173
3.527856,-0.88180953
1.9853535,-1.3897959
1.4633342,-1.8445423
2.7185755,-0.8521873
2.8802195,-0.5066669
1.7319334,-0.76024014
2.1219172,-1.3921831
1.6774396,-1.5330656
2.0475996,-1.0819367
3.6557348,-0.8569892
1.3783966,-1.2977302
1.6884646,0.37072688
1.8852152,-1.9151999
1.3175181,-2.5226634
0.45861912,-1.4745959
3.277428,-1.1097217
1.774406,0.29741135
3.0324206,-0.9274384
