,mcg,gvh,alm,mit,erl,pox,vac,nuc,localization.site
0,0.44,0.41,0.4,0.35,0.5,0.0,0.58,0.39,ME2
1,0.78,0.9,0.42,0.16,0.5,0.0,0.56,0.22,ME2
2,0.67,0.84,0.33,0.41,0.5,0.0,0.59,0.3,ME2
3,0.56,0.51,0.38,0.17,0.5,0.0,0.54,0.24,ME2
4,0.78,0.86,0.54,0.04,0.5,0.0,0.59,0.22,ME2
5,0.64,0.89,0.45,0.14,0.5,0.0,0.51,0.22,ME2
6,0.6,0.81,0.55,0.15,0.5,0.0,0.56,0.37,ME2
7,0.81,0.9,0.36,0.14,0.5,0.0,0.57,0.25,ME2
8,0.62,0.66,0.35,0.41,0.5,0.0,0.56,0.23,ME2
9,0.68,0.6,0.48,0.22,0.5,0.0,0.59,0.23,ME2
10,0.44,0.73,0.44,0.17,0.5,0.0,0.53,0.22,ME2
11,0.47,0.67,0.53,0.16,0.5,0.0,0.56,0.22,ME2
12,0.97,0.66,0.3,0.15,0.5,0.0,0.41,0.24,ME2
13,0.69,0.76,0.41,0.24,0.5,0.0,0.5,0.3,ME2
14,0.7,0.67,0.51,0.05,0.5,0.0,0.56,0.22,ME2
15,0.74,0.69,0.45,0.25,0.5,0.0,0.53,0.4,ME2
16,0.84,0.9,0.52,0.17,0.5,0.0,0.53,0.22,ME2
17,0.79,0.57,0.36,0.13,0.5,0.0,0.53,0.35,ME2
18,0.47,0.42,0.34,0.22,0.5,0.0,0.3,0.22,ME2
19,0.97,0.73,0.44,0.16,0.5,0.0,0.53,0.22,ME2
20,0.34,0.69,0.48,0.07,0.5,0.0,0.59,0.22,ME2
21,0.73,0.34,0.41,0.27,0.5,0.0,0.39,0.22,ME2
22,0.81,0.76,0.6,0.14,0.5,0.0,0.51,0.23,ME2
23,0.71,0.71,0.49,0.09,0.5,0.0,0.58,0.22,ME2
24,0.97,0.9,0.5,0.33,0.5,0.0,0.55,0.22,ME2
25,0.39,0.69,0.45,0.19,0.5,0.0,0.55,0.34,ME2
26,0.66,0.67,0.49,0.56,0.5,0.0,0.56,0.22,ME2
27,0.75,0.89,0.48,0.06,0.5,0.0,0.54,0.23,ME2
28,0.43,0.76,0.34,0.31,0.5,0.0,0.59,0.22,ME2
29,0.82,0.55,0.42,0.16,0.5,0.0,0.53,0.22,ME2
30,0.68,0.72,0.4,0.4,0.5,0.0,0.53,0.34,ME2
31,0.84,0.39,0.47,0.13,0.5,0.0,0.58,0.22,ME2
32,0.63,0.6,0.37,0.14,0.5,0.0,0.52,0.22,ME2
33,0.94,0.76,0.37,0.47,0.5,0.0,0.59,0.24,ME2
34,0.77,0.7,0.5,0.1,0.5,0.0,0.56,0.22,ME2
35,0.9,0.76,0.46,0.46,0.5,0.0,0.44,0.23,ME2
36,0.85,0.78,0.43,0.29,0.5,0.0,0.54,0.22,ME2
37,0.82,0.74,0.34,0.21,0.5,0.0,0.55,0.22,ME2
38,0.56,0.82,0.35,0.28,0.5,0.0,0.55,0.36,ME2
39,0.94,0.72,0.55,0.17,0.5,0.0,0.59,0.23,ME2
40,0.97,0.82,0.52,0.14,0.5,0.0,0.56,0.22,ME2
41,0.7,0.81,0.36,0.1,0.5,0.0,0.59,0.22,ME2
42,0.77,0.49,0.49,0.19,0.5,0.0,0.56,0.23,ME2
43,0.81,0.9,0.55,0.4,0.5,0.0,0.53,0.24,ME2
44,0.91,0.84,0.5,0.16,0.5,0.0,0.52,0.22,ME2
45,0.88,0.6,0.56,0.22,0.5,0.0,0.58,0.26,ME2
46,0.57,0.9,0.35,0.12,0.5,0.0,0.59,0.22,ME2
47,0.84,0.43,0.46,0.36,0.5,0.0,0.57,0.22,ME2
48,0.92,0.88,0.43,0.37,0.5,0.0,0.53,0.27,ME2
49,0.93,0.74,0.49,0.3,0.5,0.0,0.57,0.22,ME2
50,0.78,0.75,0.43,0.32,0.5,0.0,0.58,0.22,ME2
51,0.95,0.9,0.37,0.18,0.5,0.0,0.59,0.24,ME2
52,0.51,0.89,0.58,0.22,0.5,0.0,0.58,0.22,ME2
53,0.44,0.76,0.4,0.2,0.5,0.0,0.52,0.22,ME2
54,0.86,0.74,0.55,0.5,0.5,0.0,0.52,0.38,ME2
55,0.34,0.9,0.43,0.19,0.5,0.0,0.57,0.27,ME2
56,0.63,0.78,0.57,0.41,0.5,0.0,0.52,0.24,ME2
57,0.41,0.9,0.52,0.34,0.5,0.0,0.53,0.22,ME2
58,0.64,0.9,0.54,0.15,0.5,0.0,0.48,0.22,ME2
59,0.67,0.45,0.37,0.04,0.5,0.0,0.58,0.22,ME2
60,0.7,0.55,0.47,0.31,0.5,0.0,0.52,0.22,ME2
61,0.34,0.86,0.27,0.17,0.5,0.0,0.56,0.23,ME2
62,0.85,0.66,0.28,0.18,0.5,0.0,0.55,0.23,ME2
63,0.6,0.63,0.51,0.31,0.5,0.0,0.57,0.22,ME2
64,0.43,0.57,0.49,0.3,0.5,0.0,0.59,0.22,ME2
65,0.34,0.58,0.35,0.17,0.5,0.0,0.55,0.22,ME2
66,0.68,0.56,0.46,0.23,0.5,0.0,0.59,0.24,ME2
67,0.83,0.75,0.6,0.5,0.5,0.0,0.59,0.22,ME2
68,0.97,0.7,0.46,0.19,0.5,0.0,0.54,0.22,ME2
69,0.9,0.84,0.51,0.51,0.5,0.0,0.52,0.23,ME2
70,0.94,0.79,0.44,0.2,0.5,0.0,0.59,0.22,ME2
71,0.97,0.75,0.59,0.31,0.5,0.0,0.58,0.22,ME2
72,0.84,0.68,0.35,0.15,0.5,0.0,0.54,0.22,ME2
73,0.73,0.59,0.39,0.08,0.5,0.0,0.52,0.22,ME2
74,0.97,0.61,0.55,0.17,0.5,0.0,0.56,0.22,ME2
75,0.86,0.66,0.48,0.11,0.5,0.0,0.58,0.22,ME2
76,0.71,0.59,0.52,0.31,0.5,0.0,0.56,0.22,ME2
77,0.97,0.68,0.44,0.25,0.5,0.0,0.59,0.23,ME2
78,0.52,0.58,0.43,0.17,0.5,0.0,0.48,0.22,ME2
79,0.82,0.88,0.54,0.11,0.5,0.0,0.53,0.22,ME2
80,0.92,0.9,0.51,0.46,0.5,0.0,0.54,0.22,ME2
81,0.88,0.68,0.35,0.07,0.5,0.0,0.54,0.25,ME2
82,0.79,0.9,0.43,0.21,0.5,0.0,0.53,0.22,ME2
83,0.71,0.88,0.4,0.12,0.5,0.0,0.59,0.22,ME2
84,0.91,0.78,0.55,0.55,0.5,0.0,0.59,0.22,ME2
85,0.72,0.73,0.4,0.57,0.5,0.0,0.51,0.4,ME2
86,0.88,0.78,0.34,0.21,0.5,0.0,0.56,0.23,ME2
87,0.72,0.76,0.51,0.22,0.5,0.0,0.57,0.24,ME2
88,0.7,0.53,0.5,0.19,0.5,0.0,0.59,0.22,ME2
89,0.57,0.9,0.34,0.24,0.5,0.0,0.5,0.23,ME2
90,0.95,0.9,0.49,0.3,0.5,0.0,0.5,0.22,ME2
91,0.91,0.42,0.5,0.09,0.5,0.0,0.59,0.23,ME2
92,0.72,0.66,0.54,0.16,0.5,0.0,0.49,0.22,ME2
93,0.87,0.45,0.44,0.17,0.5,0.0,0.49,0.22,ME2
94,0.86,0.52,0.37,0.06,0.5,0.0,0.55,0.32,ME2
95,0.78,0.69,0.39,0.17,0.5,0.0,0.51,0.22,ME2
96,0.76,0.73,0.55,0.13,0.5,0.0,0.54,0.22,ME2
97,0.34,0.9,0.44,0.14,0.5,0.0,0.54,0.22,ME2
98,0.68,0.64,0.4,0.17,0.5,0.0,0.57,0.22,ME2
99,0.87,0.79,0.41,0.57,0.5,0.0,0.53,0.23,ME2
100,0.97,0.76,0.52,0.37,0.5,0.0,0.5,0.22,ME2
101,0.83,0.59,0.48,0.15,0.5,0.0,0.53,0.22,ME2
102,0.61,0.9,0.35,0.34,0.5,0.0,0.54,0.22,ME2
103,0.64,0.69,0.4,0.25,0.5,0.0,0.59,0.22,ME2
104,0.59,0.9,0.33,0.16,0.5,0.0,0.56,0.23,ME2
105,0.83,0.76,0.4,0.46,0.5,0.0,0.57,0.24,ME2
106,0.57,0.9,0.34,0.2,0.5,0.0,0.58,0.22,ME2
107,0.63,0.63,0.46,0.11,0.5,0.0,0.55,0.23,ME2
108,0.49,0.69,0.34,0.3,0.5,0.0,0.47,0.24,ME2
109,0.92,0.9,0.56,0.54,0.5,0.0,0.56,0.22,ME2
110,0.42,0.7,0.36,0.33,0.5,0.0,0.53,0.22,ME2
111,0.79,0.87,0.49,0.57,0.5,0.0,0.57,0.22,ME2
112,0.7,0.5,0.55,0.12,0.5,0.0,0.51,0.23,ME2
113,0.68,0.59,0.54,0.21,0.5,0.0,0.53,0.41,ME2
114,0.83,0.9,0.35,0.11,0.5,0.0,0.49,0.24,ME2
115,0.79,0.9,0.27,0.23,0.5,0.0,0.55,0.38,ME2
116,0.97,0.9,0.34,0.33,0.5,0.0,0.59,0.23,ME2
117,0.34,0.9,0.31,0.1,0.5,0.0,0.59,0.22,ME2
118,0.59,0.77,0.56,0.49,0.5,0.0,0.59,0.22,ME2
119,0.68,0.58,0.32,0.24,0.5,0.0,0.56,0.23,ME2
120,0.82,0.9,0.4,0.4,0.5,0.0,0.59,0.23,ME2
121,0.64,0.53,0.43,0.21,0.5,0.0,0.57,0.22,ME2
122,0.97,0.81,0.51,0.42,0.5,0.0,0.52,0.22,ME2
123,0.62,0.9,0.45,0.34,0.5,0.0,0.57,0.24,ME2
124,0.52,0.68,0.46,0.34,0.5,0.0,0.54,0.22,ME2
125,0.78,0.9,0.56,0.27,0.5,0.0,0.48,0.23,ME2
126,0.93,0.57,0.38,0.19,0.5,0.0,0.49,0.24,ME2
127,0.96,0.9,0.34,0.18,0.5,0.0,0.55,0.22,ME2
128,0.74,0.84,0.49,0.11,0.5,0.0,0.55,0.22,ME2
129,0.97,0.9,0.41,0.31,0.5,0.0,0.59,0.22,ME2
130,0.87,0.62,0.42,0.46,0.5,0.0,0.59,0.23,ME2
131,0.97,0.85,0.49,0.36,0.5,0.0,0.51,0.29,ME2
132,0.66,0.88,0.38,0.51,0.5,0.0,0.49,0.25,ME2
133,0.74,0.69,0.44,0.21,0.5,0.0,0.51,0.22,ME2
134,0.82,0.78,0.48,0.41,0.5,0.0,0.49,0.22,ME2
135,0.83,0.75,0.59,0.16,0.5,0.0,0.56,0.23,ME2
136,0.68,0.84,0.48,0.24,0.5,0.0,0.56,0.24,ME2
137,0.75,0.78,0.54,0.37,0.5,0.0,0.57,0.22,ME2
138,0.69,0.89,0.4,0.15,0.5,0.0,0.52,0.22,ME2
139,0.55,0.56,0.46,0.07,0.5,0.0,0.58,0.27,ME2
140,0.73,0.9,0.41,0.24,0.5,0.0,0.53,0.22,ME2
141,0.97,0.74,0.43,0.22,0.5,0.0,0.52,0.23,ME2
142,0.8,0.83,0.39,0.11,0.5,0.0,0.47,0.23,ME2
143,0.64,0.49,0.34,0.2,0.5,0.0,0.52,0.22,ME2
144,0.72,0.68,0.41,0.07,0.5,0.0,0.59,0.23,ME2
145,0.63,0.66,0.4,0.09,0.5,0.0,0.51,0.24,ME2
146,0.62,0.9,0.42,0.37,0.5,0.0,0.5,0.22,ME2
147,0.9,0.78,0.35,0.35,0.5,0.0,0.56,0.22,ME2
148,0.78,0.9,0.38,0.21,0.5,0.0,0.53,0.22,ME2
149,0.76,0.81,0.56,0.15,0.5,0.0,0.58,0.22,ME2
150,0.55,0.8,0.4,0.1,0.5,0.0,0.54,0.23,ME2
151,0.95,0.56,0.38,0.44,0.5,0.0,0.52,0.37,ME2
152,0.87,0.9,0.33,0.18,0.5,0.0,0.56,0.23,ME2
153,0.97,0.9,0.4,0.2,0.5,0.0,0.56,0.24,ME2
154,0.68,0.79,0.35,0.3,0.5,0.0,0.58,0.23,ME2
155,0.78,0.35,0.56,0.04,0.5,0.0,0.58,0.22,ME2
156,0.84,0.75,0.47,0.15,0.5,0.0,0.52,0.22,ME2
157,0.7,0.86,0.31,0.09,0.5,0.0,0.53,0.22,ME2
158,0.97,0.49,0.44,0.21,0.5,0.0,0.56,0.22,ME2
159,0.85,0.72,0.29,0.25,0.5,0.0,0.55,0.22,ME2
160,0.87,0.86,0.5,0.25,0.5,0.0,0.52,0.22,ME2
161,0.76,0.79,0.5,0.39,0.5,0.0,0.59,0.22,ME2
162,0.37,0.82,0.27,0.55,0.5,0.0,0.59,0.22,ME2
163,0.46,0.75,0.52,0.12,0.5,0.0,0.51,0.22,ME2
164,0.91,0.76,0.45,0.55,0.5,0.0,0.58,0.22,ME2
165,0.47,0.79,0.45,0.29,0.5,0.0,0.5,0.24,ME2
166,0.97,0.9,0.43,0.2,0.5,0.0,0.51,0.22,ME2
167,0.81,0.46,0.55,0.16,0.5,0.0,0.3,0.22,ME2
168,0.58,0.63,0.43,0.04,0.5,0.0,0.54,0.22,ME2
169,0.97,0.43,0.57,0.24,0.5,0.0,0.3,0.23,ME2
