age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38,State-gov,172928,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,>50K
54,Private,133345,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Private,274695,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
38,Private,161700,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,>50K
46,Self-emp-not-inc,347375,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
31,Private,162153,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
54,Self-emp-inc,135665,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1912,30,,>50K
19,Private,239808,11th,7,Never-married,Tech-support,Own-child,White,Female,0,0,23,United-States,<=50K
35,Self-emp-not-inc,151706,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2423,21,United-States,<=50K
46,Self-emp-inc,112879,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,5367,0,58,United-States,>50K
21,Private,379290,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Mexico,>50K
32,State-gov,281763,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Private,232069,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,>50K
20,Private,262787,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Federal-gov,93381,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
47,Private,244805,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
