age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
42.657606,Private,147271.90638012253,Masters,,Divorced,Sales,Not-in-family,White,Male,0.0,0.16882,0.2559965,United-States,>50K
39.628556,Private,262703.9700571802,Some-college,11.4029808,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.00111,0.0,United-States,>50K
51.899907,Private,194383.8277359403,Prof-school,9.9990504,Married-civ-spouse,Sales,Husband,White,Male,14936.10293,0.0,46.9895112,United-States,>50K
38.861136,Private,219570.084620499,Assoc-acdm,11.998626,Married-civ-spouse,Sales,Not-in-family,White,Female,13.94701,3.81167,50.0166089,United-States,>50K
36.74749,Private,173896.49881916062,HS-grad,8.9987501,Never-married,Sales,Not-in-family,White,Male,41.35233,0.50158,49.9965695,United-States,>50K
37.363389,Private,212515.96859978576,Masters,11.4105863,Never-married,Sales,Wife,White,Female,4.39952,0.05714,0.0852711,United-States,>50K
27.583983,Private,174039.72417842585,HS-grad,9.0043929,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,3.64644,0.81323,49.9229636,United-States,>50K
52.445252,Private,115443.0359965647,Bachelors,,Never-married,Exec-managerial,Husband,White,Female,0.0,0.0,0.0,United-States,>50K
55.965725,Federal-gov,397070.0461329268,HS-grad,,Married-civ-spouse,Exec-managerial,Husband,White,Male,35.00331,0.0,35.1639932,United-States,>50K
41.650018,Private,87920.31880172799,Bachelors,10.0009751,Married-civ-spouse,Sales,Husband,White,Male,174.16731,2.46107,40.0112728,United-States,>50K
29.852721,Private,122037.89574549459,Masters,,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7113.15799,0.13704,47.5367243,India,>50K
30.726999,Private,206292.8859024413,Some-college,,Never-married,Adm-clerical,Husband,White,Male,3.87859,0.17431,50.0247023,United-States,>50K
48.85353,Private,192755.3362922464,Masters,14.0029426,Divorced,Prof-specialty,Not-in-family,White,Male,99655.65602,0.0,40.0089868,United-States,>50K
30.090248,Private,234949.1193232404,Some-college,10.0045951,Divorced,Transport-moving,Not-in-family,White,Male,7239.02298,0.51207,39.9798987,United-States,>50K
37.110365,Private,227473.3506450391,Bachelors,10.0023181,Never-married,Other-service,Not-in-family,White,Female,1.21668,0.22118,39.9915133,United-States,>50K
36.718073,State-gov,207913.98849697498,Bachelors,14.9987303,Married-civ-spouse,Prof-specialty,Husband,White,Male,22.1899,0.77281,35.2858643,United-States,>50K
54.529768,Self-emp-not-inc,118177.45057654902,HS-grad,8.9977827,Never-married,Exec-managerial,Not-in-family,White,Male,7800.56522,0.0,46.9176102,United-States,>50K
33.513966,Private,229089.47584855123,HS-grad,8.9993807,Married-civ-spouse,Prof-specialty,Husband,White,Male,14579.62486,0.15864,60.0970642,United-States,>50K
32.908387,Private,200967.35591555026,Bachelors,12.9981692,Never-married,Sales,Not-in-family,White,Male,114.39511,0.79614,59.0213533,United-States,>50K
31.007618,Self-emp-not-inc,153013.43454803937,Bachelors,12.9990662,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0223591,United-States,>50K
49.652915,Private,145897.13736611183,HS-grad,11.4036661,Never-married,Exec-managerial,Own-child,White,Female,0.78662,0.0,0.1598331,United-States,>50K
31.600389,Private,203602.10849366704,Bachelors,13.000083,Married-civ-spouse,Prof-specialty,Husband,White,Male,7235.40528,0.11695,47.6470943,United-States,>50K
54.017161,Self-emp-not-inc,113391.06239687755,11th,6.9695175,Married-civ-spouse,Sales,Husband,White,Male,2.81956,0.07691,31.143387,United-States,>50K
57.087854,Local-gov,212574.45503245923,Masters,11.9976479,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.06416,39.9954912,United-States,>50K
45.752055,State-gov,29812.18123013892,HS-grad,8.9984996,Married-civ-spouse,Exec-managerial,Husband,White,Male,7282.65264,0.0,36.3879663,United-States,>50K
41.138289,Local-gov,179394.23481839808,Bachelors,13.0068049,Married-civ-spouse,Other-service,Wife,White,Female,3.66008,0.0,0.2213815,United-States,>50K
50.797379,Private,141949.89549496118,Masters,,Married-civ-spouse,Exec-managerial,Husband,White,Male,14709.28624,0.0,71.3292423,United-States,>50K
45.428905,Private,370239.20099700004,Some-college,9.9962158,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,47.5353019,United-States,>50K
31.883984,Private,176267.81476851014,Some-college,11.4146895,Never-married,Exec-managerial,Wife,White,Female,3.02281,0.07718,0.0,United-States,>50K
48.107393,Local-gov,251074.90651446464,Masters,11.4181899,Married-civ-spouse,Sales,Husband,White,Male,3.43505,0.02936,0.0,United-States,>50K
47.889531,Private,325914.5633294797,Doctorate,,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.48132,0.0,40.0003472,United-States,>50K
44.531581,Private,116320.66607324345,Some-college,10.0001316,Never-married,Sales,Not-in-family,White,Female,0.0,1903.80947,45.0324459,United-States,>50K
48.008205,Local-gov,210956.89150907195,Assoc-acdm,,Married-civ-spouse,Sales,Husband,White,Male,7032.45139,0.05047,40.0017562,United-States,>50K
41.626533,Private,146128.8059967648,Prof-school,,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,47.66967,6.16778,50.0017541,United-States,>50K
35.344283,Private,89270.36385839617,Some-college,9.9992724,Married-civ-spouse,Sales,Wife,White,Female,29.56269,0.50404,39.9947259,United-States,>50K
40.515544,Self-emp-inc,122782.63554115077,Bachelors,,Married-civ-spouse,Sales,Husband,White,Male,87.29434,0.19267,45.1202076,United-States,>50K
49.466666,Private,126867.15358753961,11th,15.9936361,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,7.45708,0.06167,39.9977065,India,>50K
35.160629,Private,161218.07662197197,Assoc-acdm,10.000702,Married-civ-spouse,Sales,Husband,White,Male,18.05845,0.04037,39.9920742,United-States,>50K
46.138573,Local-gov,222054.50774965924,Bachelors,,Married-civ-spouse,Adm-clerical,Husband,White,Male,15103.28848,0.0,59.9934438,United-States,>50K
44.75851,Self-emp-not-inc,58495.22314869365,Doctorate,11.4064085,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.02225,0.0,United-States,>50K
34.458414,Private,245335.11148383544,Prof-school,11.3964679,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0254017,United-States,>50K
55.684987,Private,123297.12757961062,HS-grad,,Divorced,Prof-specialty,Husband,White,Male,0.0,0.02639,0.4915233,United-States,>50K
41.435104,Private,191579.34280496452,HS-grad,11.4111483,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,5.24364,0.0,0.0216778,United-States,>50K
49.557034,Private,208396.65101429497,Bachelors,12.9998633,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,34.6930429,United-States,>50K
34.105722,Private,205591.64575488007,HS-grad,8.9987329,Married-civ-spouse,Adm-clerical,Wife,White,Female,139.72336,0.0,40.0050064,United-States,>50K
50.032389,Federal-gov,277295.78691737284,Bachelors,12.9996979,Married-civ-spouse,Transport-moving,Husband,White,Male,14969.79133,0.0,39.2793088,United-States,>50K
53.558609,Private,134949.78978905105,Doctorate,15.9926202,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.47311,0.0,40.0001359,United-States,>50K
31.831762,Private,162615.85042059748,Bachelors,12.9981591,Never-married,Exec-managerial,Not-in-family,White,Male,107.90474,0.0,39.9961832,United-States,>50K
56.351269,Private,98159.27952248136,Bachelors,,Married-civ-spouse,Adm-clerical,Wife,White,Female,5.19248,0.0,26.7351915,United-States,>50K
36.395451,Private,189397.3696256092,HS-grad,11.4127306,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.08521,0.3036739,United-States,>50K
32.818627,Private,281401.26958106336,Assoc-acdm,12.0006278,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.11164,50.0211604,United-States,>50K
39.532648,Self-emp-not-inc,159168.77136131792,Bachelors,12.9893331,Never-married,Tech-support,Not-in-family,White,Male,2.2947,0.0,34.8391689,United-States,>50K
41.418617,Local-gov,159627.3438466997,Bachelors,,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.13576,35.3441095,United-States,>50K
39.415191,Private,187152.82942198243,Bachelors,,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,0.0739273,United-States,>50K
66.971449,Self-emp-not-inc,130521.55248724205,Prof-school,15.0007028,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.76682,3.90867,40.0037034,United-States,>50K
50.887924,Private,220529.20747438283,HS-grad,,Married-civ-spouse,Sales,Husband,White,Male,29.51349,1.91092,40.0022757,United-States,>50K
