age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
30.027737,Private,91392.51600765121,Bachelors,9.0005884,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.2295,45.0240204,United-States,>50K
48.183519,Self-emp-not-inc,119301.7358950844,Prof-school,14.9966373,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,49.7340173,United-States,>50K
42.199507,Self-emp-not-inc,130157.8546770829,Some-college,9.9980691,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,58.817861,United-States,>50K
58.685856,Private,139620.76815544436,Bachelors,8.9984772,Married-civ-spouse,Sales,Husband,White,Male,14693.82172,0.0,46.8805234,United-States,>50K
37.367149,Local-gov,195114.47512929415,Bachelors,12.9988084,Married-civ-spouse,Exec-managerial,Husband,White,Male,7479.11059,1900.19922,47.5407917,United-States,>50K
42.208254,Private,194317.4361665199,Bachelors,13.0008032,Married-civ-spouse,Exec-managerial,Husband,White,Male,5.87508,0.06931,39.9986864,United-States,>50K
56.88483,Private,98277.52234681282,Some-college,9.9992917,Married-civ-spouse,Exec-managerial,Husband,White,Male,4.69935,1884.45308,48.8005615,United-States,>50K
39.37039,Local-gov,61118.33236518248,Masters,13.9994696,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,39.9934945,United-States,>50K
47.761631,Self-emp-inc,148845.48256244158,Masters,13.996593,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.50573,1904.16119,39.9991951,United-States,>50K
48.812366,Private,86768.3378172996,7th-8th,4.06058,Never-married,Sales,Not-in-family,White,Male,7660.89182,0.07489,46.5057041,United-States,>50K
45.657238,Private,142140.7810576837,Bachelors,9.0018519,Married-civ-spouse,Sales,Husband,White,Male,2.64416,0.17421,50.4526765,United-States,>50K
