age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
33.0,Private,84512.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,1,0,0,United-States,<=50K
30.0,Private,171076.0,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,<=50K
40.0,Private,189424.0,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,0,United-States,>50K
32.0,Private,166805.0,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,0,0,1,United-States,<=50K
26.0,Private,154484.0,11th,Never-married,Craft-repair,Husband,White,Male,0,0,0,United-States,>50K
37.0,Private,148932.0,Some-college,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,0,United-States,<=50K
27.0,Private,178332.0,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
34.0,Self-emp-not-inc,72741.0,Bachelors,Never-married,Sales,Husband,White,Male,0,0,0,United-States,>50K
28.0,Private,192033.0,HS-grad,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,0,Mexico,<=50K
41.0,Local-gov,169997.0,Masters,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,0,United-States,<=50K
33.0,Private,179580.0,HS-grad,Never-married,Exec-managerial,Unmarried,White,Male,0,0,0,United-States,>50K
41.0,Local-gov,135161.0,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,>50K
40.0,Local-gov,150308.0,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,1,0,United-States,>50K
34.0,Private,193976.0,Prof-school,Married-civ-spouse,Sales,Husband,White,Female,0,0,2,United-States,>50K
27.0,State-gov,132297.0,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,0,Germany,>50K
23.0,Private,169818.0,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
33.0,Private,187867.0,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,United-States,<=50K
37.0,Private,147592.0,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,United-States,>50K
30.0,Self-emp-not-inc,118863.0,HS-grad,Never-married,Sales,Husband,White,Female,0,0,0,United-States,<=50K
36.0,Private,105859.0,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,1,2,United-States,<=50K
33.0,Private,217790.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,2,United-States,<=50K
39.0,Private,104949.0,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0,United-States,<=50K
35.0,Private,148318.0,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,United-States,<=50K
35.0,Private,157828.0,HS-grad,Divorced,Prof-specialty,Husband,White,Male,0,1,0,United-States,>50K
24.0,Private,127843.0,12th,Never-married,Sales,Not-in-family,White,Female,0,0,0,United-States,<=50K
31.0,Private,180352.0,HS-grad,Married-civ-spouse,Transport-moving,Own-child,Black,Male,0,0,0,United-States,<=50K
31.0,Private,170659.0,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
28.0,Private,140444.0,Some-college,Never-married,Craft-repair,Husband,White,Female,0,0,0,United-States,<=50K
26.0,Private,170309.0,Bachelors,Never-married,Protective-serv,Own-child,White,Female,0,0,0,United-States,<=50K
39.0,Private,105216.0,HS-grad,Never-married,Transport-moving,Unmarried,White,Male,0,0,2,United-States,>50K
35.0,Self-emp-inc,148375.0,12th,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
31.0,Self-emp-not-inc,134707.0,Bachelors,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,>50K
21.0,Private,106094.0,HS-grad,Never-married,Farming-fishing,Own-child,White,Female,0,0,0,United-States,<=50K
33.0,Self-emp-inc,171441.0,Some-college,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,0,United-States,<=50K
30.0,Private,192874.0,Bachelors,Never-married,Machine-op-inspct,Husband,Black,Male,0,0,2,United-States,<=50K
25.0,Private,180417.0,HS-grad,Never-married,Prof-specialty,Other-relative,White,Female,0,0,0,United-States,<=50K
32.0,Private,151291.0,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,0,Italy,>50K
32.0,Private,186285.0,Some-college,Never-married,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
33.0,Federal-gov,128677.0,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0,United-States,<=50K
33.0,Federal-gov,206319.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,1,United-States,>50K
28.0,Private,140242.0,Some-college,Never-married,Craft-repair,Wife,White,Male,0,0,0,United-States,<=50K
33.0,Private,141976.0,Masters,Never-married,Prof-specialty,Husband,White,Male,1,0,2,United-States,>50K
34.0,Private,132825.0,Some-college,Never-married,Sales,Husband,White,Male,0,0,0,United-States,<=50K
45.0,State-gov,131055.0,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
32.0,Private,156744.0,Some-college,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
36.0,Private,128368.0,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,0,United-States,<=50K
31.0,Private,121027.0,Masters,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,0,United-States,>50K
34.0,Self-emp-inc,179145.0,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,1,0,Puerto-Rico,<=50K
29.0,Self-emp-not-inc,184219.0,Bachelors,Never-married,Other-service,Wife,White,Female,0,0,0,United-States,<=50K
31.0,Local-gov,111360.0,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,1,0,0,United-States,<=50K
34.0,Private,174395.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
31.0,Private,180109.0,Assoc-acdm,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,0,United-States,<=50K
38.0,Private,150811.0,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1,1,South,>50K
36.0,Private,106104.0,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,0,0,0,United-States,<=50K
32.0,Private,161458.0,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,>50K
29.0,Local-gov,87577.0,Bachelors,Never-married,Prof-specialty,Husband,White,Male,0,0,0,United-States,<=50K
37.0,Self-emp-not-inc,148296.0,Prof-school,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,0,United-States,>50K
31.0,Private,188029.0,Masters,Never-married,Prof-specialty,Unmarried,White,Male,0,0,1,United-States,<=50K
30.0,Private,148178.0,Some-college,Never-married,Sales,Not-in-family,White,Female,1,0,0,United-States,>50K
31.0,Private,168164.0,HS-grad,Never-married,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
32.0,Private,160669.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,0,United-States,<=50K
34.0,Private,166215.0,Assoc-voc,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,0,United-States,<=50K
36.0,Self-emp-not-inc,119300.0,Bachelors,Never-married,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
41.0,Private,169550.0,Bachelors,Divorced,Prof-specialty,Wife,White,Male,0,0,0,United-States,>50K
29.0,Private,162198.0,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Columbia,<=50K
35.0,Private,133705.0,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,<=50K
33.0,Private,188364.0,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,>50K
26.0,Private,174300.0,Bachelors,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0,United-States,<=50K
