mcg,gvh,alm,mit,erl,pox,vac,nuc,localization.site
0.5021767,0.43762204,0.4565408,0.17799763,0.5,0.0,0.5378126,0.3121704,CYT
0.7405419,0.5173926,0.43353412,0.19395849,0.5,0.0,0.5408987,0.22,ME2
0.5146558,0.56136125,0.43289012,0.16887528,0.5,0.0,0.5304023,0.22,ME2
0.61016685,0.86704177,0.54227906,0.32738534,0.5,0.0,0.5337632,0.27522692,ME2
0.76827425,0.58094895,0.32014525,0.23017779,0.5,0.0,0.5162503,0.22,ME2
0.8136179,0.59884787,0.40501893,0.29525942,0.5,0.0,0.51940376,0.22,ME2
0.44513997,0.42945647,0.4764838,0.119958386,0.5,0.0,0.52277267,0.3087878,CYT
0.8326355,0.5499359,0.63911355,0.3057852,0.5,0.0,0.3010313,0.2720824,ME2
0.75094944,0.47454938,0.32858709,0.044938006,0.5,0.0,0.61273867,0.22,ME2
0.92760134,0.7677243,0.3717239,0.5745608,0.5,0.0,0.47258365,0.22,ME2
0.73445845,0.6157463,0.36881995,0.18028454,0.5,0.0,0.5456554,0.29941776,ME2
0.4922069,0.63435525,0.5018573,0.15059651,0.5,0.0,0.5082897,0.22,CYT
0.5267696,0.42919424,0.52059007,0.17358719,0.5,0.0,0.46741107,0.22,CYT
0.7776958,0.68244433,0.47809,0.409931,0.5,0.0,0.30978552,0.30049452,ME2
0.9169923,0.7155099,0.27096507,0.23215196,0.5,0.0,0.37983397,0.22,ME2
0.80188215,0.559595,0.52084875,0.19891119,0.5,0.0,0.3195672,0.31379953,ME2
0.47886342,0.4016988,0.48092228,0.14695601,0.5,0.0,0.53159094,0.22,CYT
0.62955135,0.74712706,0.37240592,0.39379942,0.5,0.0,0.3324342,0.22,CYT
0.516019,0.45239678,0.33570358,0.040065955,0.5,0.0,0.5199048,0.22,ME2
0.72735626,0.5605428,0.35652214,0.062281016,0.5,0.0,0.5222064,0.22,ME2
0.40761518,0.39850122,0.5346224,0.15970814,0.5,0.0,0.57487494,0.35548982,CYT
0.8240522,0.69217706,0.40959197,0.1952405,0.5,0.0,0.5116298,0.22,ME2
0.38049814,0.46515816,0.5564066,0.06174578,0.5,0.0,0.51225793,0.22,CYT
0.59575015,0.52337575,0.49691895,0.1765891,0.5,0.0,0.5479834,0.22,CYT
0.44341612,0.4601179,0.47195354,0.132801,0.5,0.0,0.52692586,0.24711825,ME2
0.5391784,0.43351662,0.47823194,0.09054354,0.5,0.0,0.5365499,0.22,CYT
0.90256274,0.80672866,0.42984965,0.26325732,0.5,0.0,0.52395386,0.22,ME2
0.47450978,0.4364931,0.5292322,0.12416823,0.5,0.0,0.5893849,0.22,CYT
0.65216786,0.47748718,0.48911253,0.1474326,0.5,0.0,0.54039824,0.22,CYT
0.24132365,0.33464232,0.5493798,0.17319523,0.5,0.0,0.5485637,0.22,CYT
0.9257662,0.6605848,0.2709653,0.3562118,0.5,0.0,0.43548796,0.22,ME2
0.551387,0.5465928,0.4743316,0.105031565,0.5,0.0,0.6484646,0.22,ME2
0.45283037,0.41410857,0.5159928,0.17669956,0.5,0.0,0.54445326,0.33875692,CYT
0.37175545,0.4627607,0.5234828,0.15977369,0.5,0.0,0.504627,0.22,CYT
0.45717666,0.6108593,0.44157907,0.169533,0.5,0.0,0.5179682,0.22,ME2
0.3804194,0.4758787,0.512632,0.17193657,0.5,0.0,0.5218766,0.2951301,CYT
0.8280015,0.9,0.5058856,0.6580204,0.5,0.0,0.5167921,0.22,ME2
0.54433113,0.4370233,0.5251506,0.2545259,0.5,0.0,0.5320969,0.37053567,CYT
0.37183174,0.2897202,0.4092062,0.15004414,0.5,0.0,0.52815455,0.22,ME2
0.5168798,0.5123047,0.5264134,0.40273282,0.5,0.0,0.50715697,0.22,CYT
0.42090747,0.55288094,0.5229479,0.11720383,0.5,0.0,0.47246304,0.22,CYT
0.7455399,0.585704,0.42432916,0.13276504,0.5,0.0,0.5457677,0.22,ME2
0.57267094,0.40689006,0.5437313,0.1910312,0.5,0.0,0.4996618,0.22,CYT
0.3646992,0.551333,0.5282105,0.13999659,0.5,0.0,0.51542217,0.22,CYT
0.53554916,0.5455629,0.38512936,0.18088757,0.5,0.0,0.51898307,0.22,ME2
0.4787188,0.47978613,0.50718653,0.19082265,0.5,0.0,0.5243627,0.22,CYT
0.80509007,0.69915175,0.41690385,0.5714061,0.5,0.0,0.5482237,0.22,ME2
0.7188058,0.5663305,0.5335841,0.2158354,0.5,0.0,0.6899995,0.22,CYT
0.24797602,0.53233993,0.5262666,0.06908434,0.5,0.0,0.45102885,0.22,CYT
0.48047107,0.55853605,0.51503986,0.18773435,0.5,0.0,0.4493538,0.3341623,CYT
0.44256458,0.47603014,0.5091121,0.19145922,0.5,0.0,0.5275633,0.22,ME2
0.7062995,0.56758666,0.33767995,0.182463,0.5,0.0,0.51564837,0.22,ME2
0.81112504,0.56787866,0.30298066,0.43457264,0.5,0.0,0.5321917,0.22,ME2
0.5090126,0.43044156,0.6899994,0.18813865,0.5,0.0,0.3000057,0.2764996,CYT
0.61977625,0.7072733,0.38757557,0.3224654,0.5,0.0,0.5081945,0.22,ME2
0.44515797,0.43873298,0.44366184,0.17064941,0.5,0.0,0.53008497,0.22,ME2
0.4955379,0.5517757,0.5035628,0.33786553,0.5,0.0,0.43299416,0.11,CYT
0.9501616,0.59621763,0.30034363,0.13147135,0.5,0.0,0.46926233,0.22,ME2
0.773803,0.7346692,0.41412008,0.18347755,0.5,0.0,0.6658597,0.22,CYT
0.3613653,0.3602001,0.5319953,0.1733359,0.5,0.0,0.591516,0.22,CYT
0.8710915,0.7604662,0.3291975,0.28534052,0.5,0.0,0.5330112,0.22,ME2
0.87348205,0.8997071,0.6532423,0.5751751,0.5,0.0,0.5494789,0.22,ME2
0.96938646,0.81443566,0.3579448,0.63382655,0.5,0.0,0.43487808,0.22,ME2
0.8036122,0.5669321,0.36924043,0.20746048,0.5,0.0,0.45689654,0.22,ME2
0.37617078,0.4488562,0.44294545,0.16365172,0.5,0.0,0.4546147,0.38648102,CYT
0.97,0.6532079,0.27043182,0.6521084,0.5,0.0,0.3014412,0.22,ME2
0.40854722,0.44083112,0.43168294,0.1839919,0.5,0.0,0.54046285,0.25151515,ME2
0.4944395,0.4969652,0.4834991,0.18537709,0.5,0.0,0.5125991,0.22,CYT
0.4605218,0.41671464,0.36232927,0.1948726,0.5,0.0,0.49685147,0.22,ME2
0.74305224,0.7819208,0.56965315,0.3508909,0.5,0.0,0.47713763,0.31303763,ME2
0.6567024,0.5726605,0.32642502,0.20840503,0.5,0.0,0.44797724,0.22,ME2
0.6194932,0.7800219,0.34452692,0.18701513,0.5,0.0,0.5222157,0.22,ME2
0.7050071,0.5518955,0.4121684,0.18739879,0.5,0.0,0.54544044,0.22,ME2
0.7932006,0.57459307,0.36684194,0.18934532,0.5,0.0,0.5325674,0.22,ME2
0.55681235,0.54512864,0.5202862,0.19054314,0.5,0.0,0.51434004,0.22,CYT
0.5150549,0.43682486,0.5295277,0.1928005,0.5,0.0,0.6603184,0.22,CYT
0.44675604,0.48552465,0.5472811,0.58520675,0.5,0.0,0.43689668,0.31840006,CYT
0.48268643,0.5408864,0.527392,0.15033403,0.5,0.0,0.64943373,0.22,CYT
0.8426199,0.6072298,0.37499443,0.21314502,0.5,0.0,0.5324966,0.22,ME2
0.7416304,0.55529916,0.36229137,0.184949,0.5,0.0,0.53265035,0.22,ME2
0.80361265,0.67599714,0.5196331,0.23983955,0.5,0.0,0.54000306,0.22,ME2
0.464635,0.43587548,0.50678605,0.18796563,0.5,0.0,0.5257376,0.22,ME2
0.5276797,0.47078198,0.4807425,0.19501664,0.5,0.0,0.48606747,0.22,CYT
0.70396954,0.4543183,0.3950462,0.2270916,0.5,0.0,0.5268148,0.22,ME2
0.3556924,0.56514865,0.52178633,0.14158608,0.5,0.0,0.5657059,0.22,CYT
0.7821697,0.6564832,0.30473444,0.2685355,0.5,0.0,0.5115077,0.22,ME2
0.74708027,0.5981789,0.35558105,0.22467437,0.5,0.0,0.53472984,0.22,ME2
0.8038146,0.60225224,0.43085924,0.29911435,0.5,0.0,0.50403374,0.28676608,ME2
0.90468955,0.6126198,0.31495884,0.040000275,0.5,0.0,0.5334616,0.22,ME2
0.74185705,0.55864185,0.41982463,0.17333531,0.5,0.0,0.48454604,0.22,ME2
0.25692686,0.4018771,0.41660208,0.2744279,0.5,0.0,0.4425304,0.22,ME2
0.79072016,0.6456633,0.39429277,0.3117004,0.5,0.0,0.5421847,0.22,ME2
0.54363924,0.42797405,0.5232503,0.2707679,0.5,0.0,0.5479101,0.34854308,CYT
0.52526766,0.47134274,0.5223702,0.18872115,0.5,0.0,0.6254211,0.22,CYT
0.24574445,0.38107172,0.5289931,0.16299166,0.5,0.0,0.52540976,0.15469085,CYT
0.7852355,0.6902154,0.5216671,0.25107282,0.5,0.0,0.5149645,0.22,ME2
0.374357,0.32881287,0.4854835,0.18062736,0.5,0.0,0.49795985,0.3512156,CYT
0.44743186,0.45250943,0.52960694,0.17327315,0.5,0.0,0.4781922,0.38689053,CYT
0.52555203,0.6180106,0.4494954,0.22017027,0.5,0.0,0.5497359,0.22,ME2
0.44335267,0.6724286,0.47363466,0.14692774,0.5,0.0,0.51577467,0.22,CYT
0.8026151,0.73948413,0.58736223,0.28148818,0.5,0.0,0.3784341,0.22,ME2
0.76541156,0.5756431,0.3993912,0.6494676,0.5,0.0,0.53541225,0.22,ME2
0.41389665,0.44775635,0.56115294,0.11172686,0.5,0.0,0.49183872,0.22,CYT
0.4553851,0.4078259,0.69,0.1666231,0.5,0.0,0.30001518,0.22,CYT
0.56652796,0.5574722,0.5230078,0.18928549,0.5,0.0,0.5436494,0.22,CYT
0.6954512,0.5641828,0.39187846,0.178686,0.5,0.0,0.5021101,0.22,ME2
0.43634036,0.44479066,0.48459983,0.1386724,0.5,0.0,0.5362402,0.35163432,CYT
0.48873556,0.42615604,0.44321787,0.16404347,0.5,0.0,0.52484196,0.22,ME2
0.7738406,0.8393677,0.5176273,0.6194579,0.5,0.0,0.5406161,0.22,ME2
0.5424258,0.42330182,0.51145726,0.17010178,0.5,0.0,0.5181198,0.22,CYT
0.8285313,0.8800712,0.4629449,0.6343502,0.5,0.0,0.5013006,0.22,ME2
0.45528674,0.5609687,0.5012889,0.21775877,0.5,0.0,0.34270784,0.22,CYT
0.51527154,0.4884232,0.49451652,0.28331992,0.5,0.0,0.46943,0.3268319,CYT
0.5254619,0.42806077,0.50621825,0.38384017,0.5,0.0,0.4878646,0.3360848,CYT
0.8469124,0.6247505,0.36383635,0.19336611,0.5,0.0,0.5246464,0.22,ME2
0.8312443,0.6624896,0.37231013,0.24559988,0.5,0.0,0.54854476,0.22,ME2
0.8023418,0.5886464,0.36112875,0.20664011,0.5,0.0,0.4684036,0.22,ME2
0.54145133,0.44627088,0.44048408,0.18063645,0.5,0.0,0.48491985,0.3804574,CYT
0.80022335,0.7101521,0.49615887,0.26646802,0.5,0.0,0.5332887,0.22,ME2
0.24813503,0.31738728,0.4473385,0.1540581,0.5,0.0,0.49411592,0.22,ME2
0.8216105,0.56601554,0.39913642,0.21198696,0.5,0.0,0.5490344,0.22,ME2
0.97,0.6144032,0.27027622,0.58541125,0.5,0.0,0.33507532,0.22,ME2
0.8136456,0.5658649,0.44454134,0.18810414,0.5,0.0,0.52677035,0.22,ME2
0.6970747,0.8161095,0.3716992,0.41795138,0.5,0.0,0.534662,0.22,ME2
0.5584222,0.4371573,0.47518557,0.19943736,0.5,0.0,0.5298865,0.36078647,CYT
0.49475774,0.42040482,0.5061182,0.5999521,0.5,0.0,0.3162446,0.31363598,CYT
0.48122218,0.3920725,0.4989949,0.38716996,0.5,0.0,0.43218637,0.28694615,CYT
