mcg,gvh,alm,mit,erl,pox,vac,nuc,localization.site
0.72806229,0.79157389,0.54521887,0.218209516,0.50002747,0.0,0.54720691,0.22019071,ME2
0.82200533,0.74743025,0.54984501,0.183018027,0.5,0.0,0.5315797,0.22271815,ME2
0.78368902,0.76984395,0.54600097,0.179273358,0.5,0.0,0.53335061,0.22,ME2
0.76959391,0.56356245,0.41932746,0.225973793,0.5,0.0,0.52008861,0.22,ME2
0.73697092,0.65357273,0.51437428,0.191250256,0.5,0.0,0.51705799,0.22,ME2
0.96913661,0.89111271,0.42765497,0.356026203,0.50007075,0.0,0.53239188,0.2206882,ME2
0.6263133,0.41997453,0.4677943,0.198990351,0.50002492,0.0,0.51976389,0.22,ME2
0.82776437,0.88420951,0.53224688,0.424639407,0.5001667,0.0,0.51723891,0.22,ME2
0.68760328,0.77983949,0.40853744,0.189763358,0.5,0.0,0.52869231,0.22072236,ME2
0.81672998,0.51443127,0.49380868,0.190456983,0.50006432,0.0,0.53529178,0.2209473,ME2
0.7591552,0.81731695,0.48077952,0.231700582,0.50005371,0.0,0.54218259,0.22,ME2
0.88071068,0.45729702,0.42493602,0.144198442,0.5001882,0.0,0.55330246,0.22027072,ME2
0.54870189,0.70655905,0.45173483,0.258096377,0.50017467,0.0,0.50982746,0.2224262,ME2
0.92381313,0.7351316,0.42854218,0.329815854,0.50015709,0.0,0.53224875,0.22,ME2
0.83288094,0.78599281,0.46586796,0.185491741,0.50000872,0.0,0.5258604,0.22148221,ME2
0.91162591,0.77503461,0.58179631,0.465422451,0.50007968,0.0,0.52463084,0.22076328,ME2
0.52527586,0.54967817,0.45602258,0.20049868,0.5,0.0,0.55207652,0.22033058,ME2
0.52446219,0.69538057,0.51789099,0.177352657,0.5000451,0.0,0.48270195,0.22,ME2
0.45127841,0.39955914,0.36903301,0.176817885,0.50002057,0.0,0.51837738,0.22,ME2
0.78676653,0.9,0.37629007,0.245668999,0.50004551,0.0,0.52425435,0.22,ME2
0.80455079,0.63694236,0.60630993,0.134530156,0.50020835,0.0,0.5149321,0.22,ME2
0.7490416,0.53952097,0.43312332,0.190146584,0.5,0.0,0.53736946,0.22,ME2
0.89662022,0.84782808,0.56919566,0.237235353,0.50010061,0.0,0.52221911,0.22015679,ME2
0.93278266,0.83822946,0.54056719,0.164364487,0.5,0.0,0.52482039,0.22,ME2
0.31657163,0.52366094,0.43681571,0.142234653,0.50004701,0.0,0.52571694,0.22,ME2
0.76379603,0.70477927,0.40441053,0.272353548,0.50011866,0.0,0.49559804,0.22061622,ME2
0.81882799,0.54937274,0.51095081,0.170409306,0.5,0.0,0.53809056,0.2212416,ME2
0.97,0.87731453,0.45217124,0.213440556,0.50007831,0.0,0.52942966,0.2208288,ME2
0.79484796,0.7401875,0.47958315,0.185428492,0.50013002,0.0,0.52911661,0.22,ME2
0.75139973,0.81674941,0.50585384,0.158051632,0.5,0.0,0.5382737,0.22,ME2
0.78773465,0.87143498,0.4050961,0.273514075,0.50002143,0.0,0.50658157,0.22,ME2
0.81198563,0.76753416,0.46283654,0.239359663,0.50006699,0.0,0.5212173,0.22,ME2
0.75863135,0.77559142,0.49683263,0.16947642,0.50002679,0.0,0.53066258,0.22020341,ME2
0.68905483,0.40618193,0.40295105,0.160739988,0.5,0.0,0.53069638,0.22072114,ME2
0.86052814,0.54805849,0.35009385,0.199210415,0.5,0.0,0.52563803,0.22136314,ME2
0.64554852,0.43190839,0.4727802,0.18579894,0.5,0.0,0.5428126,0.22,ME2
0.95134401,0.86481149,0.66155835,0.206300519,0.50000547,0.0,0.53142466,0.22,ME2
0.76306625,0.4826895,0.50246303,0.112631603,0.5,0.0,0.54381871,0.22,ME2
0.90738111,0.75942149,0.39479979,0.205371422,0.50001248,0.0,0.49147629,0.22,ME2
0.76782865,0.63366009,0.60090072,0.215964679,0.50002713,0.0,0.53603272,0.22215483,ME2
0.78222898,0.89443897,0.38688819,0.24263667,0.50010885,0.0,0.5132556,0.2205079,ME2
0.86719753,0.88400355,0.62357934,0.523038997,0.50003788,0.0,0.51818273,0.22037107,ME2
0.7911204,0.75439007,0.48577466,0.182222996,0.50001868,0.0,0.53627644,0.22,ME2
0.85269139,0.80680167,0.47717574,0.186446381,0.50001996,0.0,0.53887769,0.22,ME2
0.51762766,0.40526339,0.36324827,0.221398105,0.50011257,0.0,0.52468595,0.22,ME2
0.79631397,0.72194488,0.55526328,0.184285676,0.50014648,0.0,0.52141626,0.22053608,ME2
0.75922822,0.7560179,0.4521863,0.226117876,0.50006199,0.0,0.54267888,0.22,ME2
0.81789203,0.80770214,0.38716637,0.34808425,0.50016503,0.0,0.49029631,0.22,ME2
0.85800863,0.82309998,0.3969825,0.337122199,0.50001951,0.0,0.51549568,0.22,ME2
0.81481938,0.88248543,0.4398679,0.212120435,0.5,0.0,0.52327234,0.22,ME2
0.76882997,0.45302401,0.34125798,0.249042197,0.50009735,0.0,0.53513684,0.22015141,ME2
0.90471016,0.77764575,0.50890938,0.184653547,0.50000758,0.0,0.51213672,0.22083225,ME2
0.78390788,0.87608317,0.56826572,0.472280706,0.50015523,0.0,0.54134939,0.22,ME2
0.7923584,0.74512875,0.45473585,0.17652093,0.5,0.0,0.53578165,0.22,ME2
0.82675932,0.48435999,0.51233918,0.171452964,0.50009546,0.0,0.53719866,0.22122869,ME2
0.785247,0.71235192,0.51206549,0.168583111,0.50012246,0.0,0.53808033,0.22,ME2
0.91025632,0.78055969,0.3987587,0.150846493,0.5,0.0,0.51903643,0.22181911,ME2
0.78260297,0.74759612,0.41711768,0.228031729,0.5,0.0,0.4967152,0.22068213,ME2
0.80475101,0.61033684,0.51810919,0.141509187,0.5,0.0,0.54054916,0.22124154,ME2
0.75843123,0.43492669,0.41781854,0.193484697,0.50016447,0.0,0.54232676,0.22,ME2
0.81293105,0.57010812,0.35461783,0.230928077,0.50006702,0.0,0.54843777,0.22,ME2
