ID,Timestamp,SDG,Dataset,LR_accuracy,LR_f1-score,LR_roc_auc,RF_accuracy,RF_f1-score,RF_roc_auc,XGB_accuracy,XGB_f1-score,XGB_roc_auc,Ada_accuracy,Ada_f1-score,Ada_roc_auc,LGBM_accuracy,LGBM_f1-score,LGBM_roc_auc,KNN_accuracy,KNN_f1-score,KNN_roc_auc
0,20250115_083458,baseline,adult,79.99,38.67,61.59,85.04,65.78,76.69,87.06,70.37,79.46,85.34,64.75,75.54,87.37,70.94,79.74,77.68,40.52,61.97
1,20250115_083509,baseline,yeast,91.26,18.18,55.0,97.09,82.35,85.0,97.09,84.21,89.46,97.09,84.21,89.46,97.09,84.21,89.46,97.09,84.21,89.46
2,20250115_083520,baseline,cc-fraud-1,99.93,79.8,90.29,99.93,81.0,91.31,99.95,86.29,93.36,99.88,68.52,87.72,99.95,85.28,92.84,99.92,75.94,86.21
3,20250115_083554,baseline,cc-fraud-5,99.81,59.64,91.75,99.92,78.14,92.83,99.9,76.07,95.37,99.63,44.39,93.19,99.91,78.22,94.86,99.88,68.22,87.21
4,20250115_083658,ctab-gan-plus,adult,66.55,43.81,62.63,81.51,66.89,80.67,83.65,70.27,83.01,81.13,67.09,81.23,83.53,70.24,83.1,64.22,43.24,61.96
5,20250115_083715,ctgan,adult,68.04,41.08,60.83,83.86,65.56,77.35,86.68,70.73,80.26,83.8,66.53,78.4,87.12,71.74,80.94,71.12,42.76,62.33
6,20250115_083729,ros,adult,70.04,54.12,71.69,84.63,67.6,78.84,83.9,71.34,84.22,80.66,67.36,81.98,83.77,71.43,84.49,64.01,43.88,62.48
7,20250115_083742,rus,adult,67.23,47.42,65.62,81.27,67.62,81.8,83.02,70.48,83.98,80.54,67.77,82.64,83.19,70.93,84.44,61.0,40.83,59.61
8,20250115_083752,smote,adult,66.83,49.09,67.13,84.58,67.22,78.48,86.82,71.38,80.86,83.08,67.71,80.32,86.75,71.56,81.17,64.87,42.99,61.83
9,20250115_083808,tabsyn,adult,66.51,44.63,63.28,81.11,67.05,81.2,82.74,70.19,83.87,80.68,67.43,82.05,82.88,70.37,83.97,62.94,42.69,61.38
10,20250115_083838,tvae-all,adult,68.61,39.04,59.61,84.55,65.57,76.86,87.19,70.85,79.84,83.32,64.82,77.01,87.3,71.24,80.15,68.11,41.6,61.19
11,20250115_083854,vae-bgm,adult,73.13,32.73,57.43,84.99,65.59,76.55,87.29,71.07,79.97,84.25,62.75,74.55,87.36,70.84,79.64,71.08,37.28,59.1
12,20250115_083924,ctgan,yeast,94.17,75.0,92.31,95.15,80.0,97.31,97.09,86.96,98.39,98.06,90.91,98.92,96.12,81.82,93.39,98.06,90.0,94.46
13,20250115_083930,ros,yeast,93.2,72.0,91.77,97.09,84.21,89.46,97.09,84.21,89.46,97.09,84.21,89.46,97.09,84.21,89.46,94.17,75.0,92.31
14,20250115_083933,rus,yeast,94.17,75.0,92.31,97.09,86.96,98.39,96.12,83.33,97.85,98.06,90.91,98.92,96.12,83.33,97.85,96.12,81.82,93.39
15,20250115_083938,smote,yeast,94.17,75.0,92.31,96.12,80.0,88.92,97.09,84.21,89.46,96.12,80.0,88.92,97.09,84.21,89.46,96.12,81.82,93.39
16,20250115_083943,tabsyn,yeast,93.2,72.0,91.77,97.09,85.71,93.92,97.09,85.71,93.92,92.23,69.23,91.24,97.09,85.71,93.92,98.06,90.0,94.46
17,20250115_083951,tvae-all,yeast,93.2,72.0,91.77,98.06,90.0,94.46,96.12,77.78,84.46,97.09,84.21,89.46,97.09,84.21,89.46,93.2,74.07,96.24
18,20250115_083957,vae-bgm,yeast,92.23,69.23,91.24,96.12,80.0,88.92,96.12,80.0,88.92,94.17,72.73,87.85,96.12,80.0,88.92,90.29,64.29,90.16
19,20250115_084024,ctab-gan-plus,cc-fraud-1,99.14,26.17,93.97,99.76,55.31,93.77,99.88,72.43,94.85,98.2,14.19,92.47,99.84,65.4,93.81,99.88,69.83,91.28
20,20250115_084216,ctgan,cc-fraud-1,99.93,80.39,91.82,99.93,80.79,91.82,99.93,81.34,93.34,99.7,49.25,91.7,99.92,78.47,91.81,99.9,73.43,88.75
21,20250115_084356,ros,cc-fraud-1,97.48,11.46,96.19,99.95,85.0,93.35,99.93,81.13,93.85,97.69,12.15,95.28,99.93,80.73,94.87,99.67,46.76,92.19
22,20250115_084428,rus,cc-fraud-1,96.35,8.3,96.14,97.03,9.91,95.97,96.13,7.63,94.5,95.26,6.44,95.08,96.16,7.83,95.53,93.49,4.43,90.63
23,20250115_084435,smote,cc-fraud-1,98.1,14.68,96.5,99.93,81.86,94.87,99.88,72.06,95.36,97.91,13.27,95.39,99.84,65.68,95.33,98.74,20.58,96.82
24,20250115_084603,tabsyn,cc-fraud-1,98.56,18.34,96.22,99.6,44.93,97.25,99.65,47.67,96.77,98.42,16.65,95.13,99.55,42.01,96.72,99.17,27.57,95.51
25,20250115_084715,tvae-all,cc-fraud-1,94.37,5.48,94.63,99.86,68.5,94.33,99.86,69.53,95.35,97.33,10.26,93.06,99.82,62.73,93.29,95.96,6.34,87.79
26,20250115_084822,vae-bgm,cc-fraud-1,99.08,23.46,90.37,99.94,83.67,91.82,99.94,83.74,93.35,99.22,24.7,86.88,99.94,83.9,93.86,95.04,5.17,86.82
27,20250115_084955,ctab-gan-plus,cc-fraud-5,99.06,24.72,94.44,99.55,40.84,94.68,99.68,49.86,95.77,97.51,11.04,93.66,99.65,47.47,95.24,99.35,30.34,91.01
28,20250115_085030,ctgan,cc-fraud-5,99.87,69.42,92.8,99.88,71.49,92.81,99.84,65.9,93.81,99.37,31.36,91.54,99.85,67.45,93.82,99.52,35.21,88.04
29,20250115_085059,ros,cc-fraud-5,97.54,11.61,95.71,99.92,79.09,94.36,99.85,67.17,95.34,96.96,9.62,95.42,99.85,67.17,95.34,98.24,14.68,93.01
30,20250115_085109,rus,cc-fraud-5,96.64,8.94,96.28,97.1,10.03,95.49,95.98,7.51,95.44,95.52,6.58,93.68,96.5,8.44,95.19,94.17,4.98,91.48
31,20250115_085115,smote,cc-fraud-5,98.19,15.27,96.55,99.77,57.52,94.79,99.65,47.09,95.24,97.16,10.12,95.01,99.68,49.03,94.75,96.74,8.84,94.29
32,20250115_085133,tabsyn,cc-fraud-5,98.47,17.41,96.18,99.35,33.03,96.62,99.24,29.95,97.07,97.8,12.7,95.33,99.28,31.31,97.09,98.41,16.87,96.15
33,20250115_085152,tvae-all,cc-fraud-5,97.97,13.46,94.91,99.77,56.86,94.28,99.78,58.94,95.31,97.4,10.61,93.6,99.79,59.53,95.31,94.61,4.71,86.09
34,20250115_085210,vae-bgm,cc-fraud-5,99.82,62.12,91.76,99.92,79.43,92.32,99.88,72.27,93.83,98.53,16.87,92.64,99.88,71.37,93.83,90.58,2.72,83.57
35,20250115_121914,tvae-top-2,adult,66.57,42.46,61.61,84.49,66.04,77.36,87.0,70.4,79.55,83.11,64.77,77.11,87.2,71.04,80.04,66.69,42.51,61.66
36,20250115_121929,tvae-top-2,yeast,93.2,72.0,91.77,99.03,95.24,99.46,98.06,90.0,94.46,98.06,90.0,94.46,97.09,84.21,89.46,95.15,78.26,92.85
37,20250115_121935,tvae-top-2,cc-fraud-1,97.67,11.0,90.68,99.94,81.77,92.33,99.93,81.34,93.34,98.91,20.51,90.29,99.94,83.58,92.84,94.57,4.74,86.58
38,20250115_122054,tvae-top-2,cc-fraud-5,99.73,52.2,92.23,99.92,79.25,92.83,99.87,69.88,94.33,99.01,22.77,91.87,99.89,74.36,94.34,92.76,3.46,84.15
