age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
42,Private,178615,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
50,Private,218238,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,49211,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,47,United-States,<=50K
45,State-gov,86694,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Male,14811,0,45,United-States,>50K
23,Private,505926,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,177975,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K
44,Private,550160,11th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
40,Private,130901,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1890,58,United-States,>50K
55,Self-emp-inc,195567,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
34,Private,204142,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
40,Private,153969,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15811,0,45,Laos,>50K
29,Self-emp-inc,305636,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5058,0,50,United-States,>50K
43,Private,217435,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,56,United-States,<=50K
19,Private,204758,Some-college,10,Never-married,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
47,Private,274187,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
47,Private,200841,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
23,Private,495052,Some-college,3,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K
32,Local-gov,310688,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,3307,0,40,United-States,<=50K
61,Private,160309,11th,7,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
23,Private,154961,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
55,Local-gov,178527,Masters,14,Married-civ-spouse,Exec-managerial,Unmarried,Black,Female,0,1986,50,Germany,<=50K
