age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
18,Private,235854,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
24,Private,164689,Assoc-acdm,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,9,United-States,<=50K
44,Private,113900,Assoc-voc,11,Separated,Craft-repair,Unmarried,White,Female,4566,0,40,United-States,>50K
44,Private,272432,1st-4th,3,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,23,United-States,<=50K
30,Private,442628,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
42,Private,164271,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,61,United-States,>50K
40,Self-emp-not-inc,42556,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,<=50K
43,Private,191589,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,33,United-States,>50K
18,Private,183444,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,50,Peru,<=50K
47,Self-emp-inc,74978,10th,6,Married-civ-spouse,Exec-managerial,Husband,Black,Male,4835,0,45,United-States,>50K
51,Federal-gov,51164,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,>50K
51,Private,42143,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
38,Private,32913,Assoc-acdm,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
53,Private,26280,10th,4,Never-married,Other-service,Not-in-family,White,Female,0,0,33,United-States,<=50K
25,Private,203275,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,11,Columbia,<=50K
20,Private,381313,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,73,United-States,<=50K
60,Private,216664,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5907,0,65,United-States,>50K
29,Private,168870,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
22,Private,221118,Prof-school,15,Married-civ-spouse,Other-service,Husband,White,Male,0,2400,57,United-States,>50K
37,Private,151688,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,67,United-States,<=50K
59,Private,121994,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,93307,Masters,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
