age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
44,Private,117945,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
52,Private,128264,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,68,United-States,>50K
54,Private,141597,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,United-States,>50K
50,Private,30008,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K
30,Private,207153,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
40,Private,105823,Assoc-voc,14,Never-married,Exec-managerial,Husband,White,Male,13971,0,47,United-States,>50K
44,Private,187250,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
46,Private,180345,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,>50K
55,Private,72653,Bachelors,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,14203,0,35,United-States,>50K
48,Private,230605,Bachelors,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
48,Private,161011,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,>50K
48,Private,268022,Bachelors,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,51,United-States,>50K
49,Private,44232,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Male,99999,0,49,United-States,>50K
51,Private,430065,Masters,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,1598,0,47,United-States,>50K
39,Private,111495,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,27,United-States,>50K
48,Private,248294,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7467,0,40,United-States,>50K
57,Private,215906,Masters,10,Married-civ-spouse,Sales,Husband,White,Male,0,1771,41,United-States,>50K
51,Private,289815,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,8010,0,46,United-States,>50K
42,Private,224225,Bachelors,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
34,Private,198274,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3150,0,40,United-States,>50K
48,Private,120444,Prof-school,13,Never-married,Prof-specialty,Not-in-family,White,Male,27828,0,60,United-States,>50K
38,Private,211666,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,32,United-States,>50K
32,Private,114942,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States,>50K
45,Private,358585,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Private,253231,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,>50K
42,Private,222969,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,>50K
38,Private,90182,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,>50K
50,Private,125418,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,41,United-States,>50K
41,Private,227939,Bachelors,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
62,Private,106030,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
36,Private,406547,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,>50K
41,Private,270751,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,>50K
35,Private,220896,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7439,0,43,United-States,>50K
33,Private,182562,Assoc-voc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
36,Private,106702,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,43,United-States,>50K
71,Self-emp-not-inc,33232,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,31,United-States,>50K
40,Private,123303,Masters,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
43,Private,330136,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,United-States,>50K
41,Self-emp-not-inc,342142,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,>50K
31,Private,164195,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
37,Private,163229,HS-grad,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,43,United-States,>50K
52,Private,266576,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,41,United-States,>50K
44,Private,112304,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,>50K
48,Private,330891,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,69,United-States,>50K
32,Private,162583,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,53,United-States,>50K
43,State-gov,206997,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,39,United-States,>50K
48,Private,159607,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1890,42,United-States,>50K
38,Private,509898,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,53,United-States,>50K
41,Private,326067,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,>50K
56,Private,411302,Bachelors,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,19,United-States,>50K
41,Private,130126,HS-grad,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,64,United-States,>50K
39,Private,95334,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States,>50K
41,Private,187860,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K
37,Private,125492,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,14177,0,36,United-States,>50K
36,Private,113456,Some-college,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
34,Private,174785,HS-grad,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,51,United-States,>50K
34,Private,168860,Some-college,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,43,United-States,>50K
40,Private,287673,Some-college,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
45,Private,572454,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,>50K
47,Private,304501,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,>50K
52,Private,178933,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,44,United-States,>50K
43,Private,193882,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
40,Private,359062,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
51,Private,176517,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,8081,0,53,United-States,>50K
41,Private,125829,Masters,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1885,54,United-States,>50K
31,Private,270352,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,>50K
