step,mloss,gloss,loss
1.0,2.1892,1.2352,3.4244000000000003
2.0,119.1983,89348.9219,89468.1202
3.0,1.6603,3.5206,5.1809
4.0,1.9082,1.2517,3.1599
5.0,1.7507,1.0637,2.8144
6.0,1.4646,1.1063,2.5709
7.0,1.956,4.0468,6.002800000000001
8.0,1.5027,4.8711,6.3738
9.0,1.4165,1.1005,2.5170000000000003
10.0,2.3157,1.8113,4.127
11.0,1.3158,1.2975,2.6133
12.0,1.3725,1.0762,2.4487
13.0,1.5195,1.4024,2.9219
14.0,1.4682,2.6653,4.1335
15.0,1.4045,1.0697,2.4742
16.0,1.4002,1.844,3.2442
17.0,1.5235,2.2759,3.7994000000000003
18.0,1.3689,1.1,2.4689
19.0,1.3188,1.5379,2.8567
20.0,1.3064,1.3478,2.6542000000000003
21.0,1.2462,1.1132,2.3594
22.0,1.2792,1.1302,2.4093999999999998
23.0,1.3028,1.0927,2.3955
24.0,1.2488,1.0425,2.2912999999999997
25.0,1.2589,1.0544,2.3133
26.0,1.2215,1.0386,2.2601
27.0,1.2229,1.0396,2.2625
28.0,1.2797,1.0235,2.3032000000000004
29.0,1.2221,1.0287,2.2508
30.0,1.2935,1.0111,2.3046
31.0,1.2417,0.9944,2.2361
32.0,1.2383,1.0137,2.252
33.0,1.183,1.0194,2.2024
34.0,1.2351,1.004,2.2391
35.0,1.2403,1.0003,2.2405999999999997
36.0,1.237,1.0269,2.2639
37.0,1.2184,1.011,2.2294
38.0,1.1797,0.9916,2.1713
39.0,1.1509,1.0075,2.1584000000000003
40.0,1.2337,1.0022,2.2359
41.0,1.211,1.0056,2.2166
42.0,1.2036,0.997,2.2006
43.0,1.1543,0.9863,2.1406
44.0,1.1885,0.9973,2.1858
45.0,1.1834,1.0062,2.1896
46.0,1.1557,0.9844,2.1401
47.0,1.2126,1.0022,2.2148
48.0,1.2271,1.0149,2.242
49.0,1.157,0.9939,2.1509
50.0,1.1851,0.998,2.1831
51.0,1.2132,0.9976,2.2108
52.0,1.2083,1.0178,2.2260999999999997
53.0,1.1938,1.0071,2.2009
54.0,1.246,1.0109,2.2569
55.0,1.2063,1.0052,2.2115
56.0,1.152,0.9963,2.1483
57.0,1.2097,1.0024,2.2121
58.0,1.2796,0.995,2.2746
59.0,1.1866,1.0215,2.2081
60.0,1.193,0.9848,2.1778
61.0,1.2291,1.0036,2.2327000000000004
62.0,1.2522,1.0028,2.255
63.0,1.2107,1.0118,2.2225
64.0,1.1775,0.9895,2.167
65.0,1.1794,1.0019,2.1813000000000002
66.0,1.3217,0.9919,2.3136
67.0,1.2132,0.996,2.2092
68.0,1.151,0.9921,2.1431
69.0,1.1718,0.9933,2.1651
70.0,1.1491,1.0179,2.167
71.0,1.2562,0.9869,2.2431
72.0,1.1686,1.0058,2.1744000000000003
73.0,1.1943,0.9944,2.1887
74.0,1.1786,1.003,2.1816
75.0,1.1993,1.0079,2.2072000000000003
76.0,1.1518,0.984,2.1357999999999997
77.0,1.1312,1.007,2.1382
78.0,1.1694,0.9985,2.1679
79.0,1.2108,0.999,2.2098
80.0,1.1487,1.0003,2.149
81.0,1.1507,0.998,2.1487
82.0,1.2377,1.0016,2.2393
83.0,1.1644,1.0114,2.1758
84.0,1.2362,0.9995,2.2357
85.0,1.1851,1.0013,2.1864
86.0,1.1587,1.0032,2.1619
87.0,1.1818,0.9843,2.1661
88.0,1.2024,0.9913,2.1936999999999998
89.0,1.2152,0.995,2.2102
90.0,1.1771,0.9994,2.1765
91.0,1.2795,0.9696,2.2491000000000003
92.0,1.174,0.9927,2.1667
93.0,1.172,1.0109,2.1829
94.0,1.2185,0.9944,2.2129
95.0,1.2589,0.985,2.2439
96.0,1.1936,0.9945,2.1881
97.0,1.1995,1.0102,2.2096999999999998
98.0,1.1356,1.0075,2.1431
99.0,1.1884,0.9971,2.1854999999999998
100.0,1.1633,1.007,2.1703
