V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
-1.4096903,1.0768968,2.8522444,1.69324,0.38301924,0.8804552,0.019579718,0.18696336,0.8992179,-0.33955657,-0.21358362,-2.4756644,2.0287476,0.6879762,-1.305521,0.48713967,0.2259544,-0.24550737,-1.6737179,-0.32561246,-0.16004057,-0.1684482,-0.35300636,-0.33210668,0.21465623,-0.14130768,-0.30566117,0.07196501,19.02,0
1.8621018,-0.12405189,-1.9897517,0.38260892,0.47303167,-0.674517,0.29862136,-0.28241572,0.8020525,-0.9894312,-0.49111232,0.9038193,1.3665243,-1.8861623,-0.19486131,0.086836725,0.97854626,0.055603974,0.18913084,0.15072699,-0.20415828,-0.51144105,0.07787415,0.3883351,0.007895729,-0.120979615,-0.019578792,0.0061547053,108.51,1
-30.55238,16.713388,-31.103685,6.5349836,-22.105532,-4.977692,-20.371513,20.007208,-3.5657377,-7.7310715,3.8294275,-5.3143325,1.4469303,-4.5792637,-0.14229935,-4.9978485,-10.9614105,-4.641482,0.5670563,1.733644,1.8165202,-2.2886856,-1.4605445,0.18317948,2.2082093,-0.20882396,1.2326363,0.35666,99.99,1
1.0019917,0.04793838,-0.34900156,1.4939585,0.18693888,0.19096564,-0.0011121043,0.14714019,0.58041537,-0.792938,-0.98417175,-0.5673801,-1.1055923,-1.3812135,0.40549043,0.27989018,1.1321602,0.09299298,-0.29892045,0.016003674,-0.33441743,-1.0143147,-0.12842731,-0.94624186,0.45609027,-0.45320597,0.046627093,0.06469835,105.99,1
-5.9614573,5.3133817,-6.67432,6.028975,-1.3875599,0.67063844,-4.1289873,-4.765894,-1.0052592,0.45350507,4.4317365,-5.1427364,-1.1816921,-8.755449,1.0043557,-2.0650256,-3.2614353,0.12522332,0.9369662,-1.116581,5.5566425,-1.5018077,1.3551724,0.14109321,0.07791341,0.47398835,0.28712878,1.4686534,105.89,1
-0.41733977,4.700055,-7.5217667,7.6718845,0.26082122,-2.6466925,-2.854432,0.9587831,-4.588536,-6.120715,4.548495,-7.8362527,-0.24267477,-13.202505,1.0924416,-3.0408626,-3.008958,-0.15996696,0.7880863,0.83203477,0.62220037,-0.43770835,-0.09035829,-0.74280214,-0.3123607,0.502575,0.8213903,0.37237883,0.77,1
-0.3016581,-0.33085716,0.44178882,-2.3263164,-0.7984758,-1.0118617,-0.6656956,0.24606147,-2.3201475,0.7557671,-1.3913716,-0.92509896,0.86238533,-0.18027285,-0.2607692,0.001851288,0.15249127,0.2503832,-0.6513245,-0.43635854,0.001274344,0.19473685,0.1183465,-0.16763338,-1.0153953,-0.520777,0.13142298,0.12619972,4.09,0
-1.6492788,1.2639736,-1.0508257,2.2379906,-2.5278893,-0.88993996,-2.3552537,0.85465866,-1.2812426,-2.7050114,1.1744751,-4.3819194,-1.2266659,-2.9538243,1.9941612,-3.3042538,-5.5857944,-1.643704,2.1186333,0.08740637,0.67917645,0.73190707,0.33304548,0.39250523,-0.2741973,0.8023487,0.39080855,0.11214553,112.45,1
-4.320609,3.1999388,-5.799736,6.5023303,0.37847924,-1.9482464,-2.1678596,-0.7282067,-1.9772383,-3.4734106,4.569194,-9.321153,-1.5925176,-14.266836,0.4677766,-4.0662084,-6.6269684,-1.4371585,-0.21540974,-0.26368606,0.47666043,0.43427834,-0.13693991,-0.6200717,0.64253056,0.28071734,-2.6491067,0.5336409,1.0,1
0.7543159,2.3798218,-5.1372743,3.8183918,0.043202654,-1.2854514,-1.7666836,0.75671065,-1.7657222,-3.2630067,3.5927968,-2.7723489,-0.074533656,-6.2810936,0.16597801,-2.6791713,-1.3855566,0.24905674,2.3534527,0.36966297,0.3970576,0.14116521,0.17198454,0.3942738,-0.44464183,-0.26318908,0.30470294,-0.044362273,2.0,1
