age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
25.0,Private,158438.84,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,50.0,United-States,>50K
61.964825,Self-emp-not-inc,55712.227,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
56.0,Private,177650.78,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
42.0,Private,176665.56,Assoc-voc,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
43.0,Private,200199.62,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
34.156494,Private,178653.88,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
60.51141,Private,143040.22,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,34.76952,United-States,<=50K
37.0,Private,89222.7,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,35.0,United-States,>50K
52.0,Private,176072.1,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,15024.0,0.0,40.0,United-States,>50K
42.0,State-gov,383815.4,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,15.0,United-States,<=50K
40.0,Private,182403.73,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,70.0,United-States,<=50K
37.0,Private,166584.08,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
56.370064,Self-emp-not-inc,334796.06,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
51.2822,Self-emp-not-inc,176418.64,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,Yugoslavia,>50K
29.0,Local-gov,277473.28,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Self-emp-not-inc,176815.5,Assoc-voc,11.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024.0,0.0,50.0,United-States,>50K
38.0,Private,160879.4,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
49.0,Private,184439.58,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1977.0,50.0,United-States,>50K
25.0,Local-gov,139317.31,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
50.0,Local-gov,206296.34,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
42.0,Private,176696.69,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,1876.971,55.0,United-States,>50K
59.0,Private,204536.9,Doctorate,16.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
58.0,State-gov,115876.586,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
33.0,State-gov,108352.914,Bachelors,13.0,Separated,Exec-managerial,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
22.0,Private,321718.38,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
34.0,Private,397131.8,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
35.0,Private,18088.822,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,52.0,United-States,>50K
47.0,Private,181701.03,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,White,Female,0.0,1902.0,40.0,United-States,<=50K
40.0,Self-emp-not-inc,293424.75,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
68.0,Local-gov,188601.05,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
49.0,Private,292260.75,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,155165.16,12th,12.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
61.0,Private,36652.695,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,14.440709,United-States,>50K
32.0,Local-gov,198329.75,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,70.0,United-States,<=50K
43.0,Self-emp-inc,34399.0,Some-college,10.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
44.0,Local-gov,303985.25,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,50.0,United-States,>50K
38.0,Private,132969.16,Assoc-voc,11.0,Never-married,Other-service,Not-in-family,White,Female,4635.738,0.0,40.0,United-States,<=50K
36.0,Private,965244.6,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
27.0,Private,252078.2,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
55.248955,Private,164079.23,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
28.0,Local-gov,477361.22,Some-college,10.0,Separated,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
44.0,Self-emp-inc,83187.42,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,40.0,United-States,>50K
29.0,Private,332158.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1600.7456,50.0,United-States,>50K
29.0,Private,389192.3,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,32.0,United-States,<=50K
47.0,Self-emp-inc,160371.44,Some-college,10.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,60.0,United-States,<=50K
28.0,Self-emp-not-inc,61889.504,Some-college,10.0,Never-married,nan,Own-child,White,Male,0.0,0.0,50.0,United-States,<=50K
29.743282,Self-emp-not-inc,210019.17,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,30.328197,United-States,<=50K
32.0,Private,110297.414,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1902.0,50.0,United-States,>50K
30.0,Private,39390.41,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
58.0,Private,358841.4,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
27.367413,Private,156888.55,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
30.0,Private,205026.53,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,60.0,United-States,>50K
57.0,Private,209905.89,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
33.0,Local-gov,509884.56,Some-college,10.0,Married-civ-spouse,nan,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
44.0,Private,270529.38,HS-grad,9.0,Separated,Craft-repair,Other-relative,Black,Male,0.0,0.0,60.0,Hong,>50K
24.0,Local-gov,27331.809,Some-college,10.0,Never-married,Farming-fishing,Not-in-family,White,Female,0.0,0.0,44.0,United-States,<=50K
20.0,Self-emp-not-inc,51091.992,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
47.0,Private,113498.75,Assoc-voc,11.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
46.0,Private,721953.8,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,52.0,United-States,>50K
58.2484,Private,85477.14,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
33.0,Private,188412.11,HS-grad,9.0,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
35.0,Private,241401.88,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Self-emp-not-inc,90644.016,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Self-emp-inc,109918.6,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,60.91687,United-States,>50K
46.0,Private,186247.98,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
42.100483,Private,202677.78,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
