age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
25.483408,Private,157694.11,7th-8th,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,India,<=50K
36.0,Private,230668.6,Masters,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.8321,Peru,<=50K
37.0,Self-emp-not-inc,225013.77,Preschool,9.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,0.0,40.0,India,<=50K
38.0,Private,155860.75,Prof-school,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,Trinadad&Tobago,<=50K
26.0,Private,105220.44,11th,10.0,Married-civ-spouse,Transport-moving,Husband,White,Female,0.0,0.0,40.0,Peru,<=50K
32.0,Private,104518.37,Prof-school,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,Peru,<=50K
29.0,Private,174176.84,1st-4th,10.206587,Never-married,Sales,Own-child,White,Female,49667.387,0.0,40.0,India,<=50K
39.0,Private,113524.3,Masters,12.0,Never-married,Craft-repair,Husband,White,Female,0.0,0.0,30.0,Iran,<=50K
40.0,Private,107103.63,11th,12.0,Married-civ-spouse,Sales,Husband,White,Female,0.0,0.0,20.0,India,<=50K
41.0,Private,124218.086,1st-4th,11.0,Never-married,Craft-repair,Own-child,White,Female,0.0,0.0,18.480701,Peru,<=50K
32.0,Private,110721.04,Masters,13.0,Never-married,Sales,Husband,White,Male,0.0,0.0,80.0,India,<=50K
37.0,Private,105872.375,Preschool,13.0,Separated,Transport-moving,Own-child,White,Female,0.0,0.0,50.0,Scotland,<=50K
28.0,Private,101432.52,Prof-school,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,Peru,<=50K
37.0,Private,162602.86,Masters,12.0,Never-married,Transport-moving,Husband,White,Female,0.0,0.0,35.0,Trinadad&Tobago,<=50K
37.0,Private,127235.336,Preschool,12.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,50.0,Trinadad&Tobago,<=50K
24.0,Private,86069.81,Masters,10.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,0.0,65.28371,Laos,<=50K
39.0,Private,224599.58,11th,10.0,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,0.0,0.0,20.0,Peru,<=50K
40.0,Private,190911.95,Masters,10.0,Married-civ-spouse,Transport-moving,Husband,White,Female,0.0,0.0,65.0,Trinadad&Tobago,<=50K
37.0,Private,215334.84,11th,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,20026.771,0.0,60.0,Iran,<=50K
25.0,Private,96470.555,Prof-school,9.0,Separated,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Iran,<=50K
37.0,Private,185315.47,7th-8th,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Trinadad&Tobago,<=50K
38.0,Private,130458.53,11th,9.0,Never-married,Transport-moving,Own-child,White,Female,0.0,0.0,40.0,Iran,>50K
39.0,Private,146664.92,Prof-school,13.0,Never-married,Sales,Husband,White,Male,0.0,0.0,75.0,Trinadad&Tobago,<=50K
39.0,Private,126455.88,Masters,9.0,Never-married,Transport-moving,Husband,White,Female,0.0,0.0,40.0,Laos,<=50K
31.0,Private,165157.77,Preschool,11.0,Never-married,Sales,Husband,White,Female,22020.516,0.0,40.0,India,<=50K
34.0,Private,146040.34,Prof-school,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,Trinadad&Tobago,<=50K
40.0,Private,101885.625,Preschool,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,Trinadad&Tobago,<=50K
38.0,Private,117479.4,Preschool,10.0,Never-married,Transport-moving,Husband,White,Male,0.0,0.0,65.0,Peru,<=50K
