age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
36.0,Private,272209.0,Assoc-acdm,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,0,United-States,<=50K
25.0,Private,293955.0,Masters,Divorced,Transport-moving,Own-child,White,Male,0,1,0,United-States,<=50K
28.0,Private,288643.0,Masters,Never-married,Transport-moving,Not-in-family,White,Female,0,0,2,United-States,>50K
27.0,Private,288856.0,HS-grad,Divorced,Farming-fishing,Own-child,White,Female,0,0,0,United-States,>50K
31.0,Private,285312.0,Assoc-voc,Divorced,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
29.0,Private,282873.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1,2,United-States,<=50K
26.0,Private,316079.0,Masters,Divorced,Adm-clerical,Husband,White,Male,0,0,0,United-States,<=50K
36.0,Federal-gov,242918.0,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,0,United-States,>50K
28.0,Private,341469.0,Masters,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
26.0,Self-emp-not-inc,317826.0,Masters,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,>50K
28.0,Private,310786.0,HS-grad,Never-married,Adm-clerical,Husband,White,Female,0,0,0,United-States,<=50K
32.0,Private,289003.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,1,0,0,United-States,<=50K
27.0,Private,310300.0,Assoc-voc,Never-married,Farming-fishing,Unmarried,White,Male,0,0,0,United-States,>50K
31.0,Private,288388.0,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Female,0,0,2,United-States,<=50K
29.0,Private,273747.0,Some-college,Never-married,Transport-moving,Own-child,White,Male,0,1,0,United-States,<=50K
28.0,Private,304321.0,HS-grad,Divorced,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
29.0,Private,306655.0,HS-grad,Never-married,Other-service,Husband,White,Female,0,0,1,United-States,<=50K
34.0,Local-gov,275742.0,Assoc-voc,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
33.0,Private,287217.0,Some-college,Divorced,Exec-managerial,Husband,White,Female,0,0,0,United-States,>50K
40.0,Private,281326.0,Masters,Never-married,Adm-clerical,Wife,White,Male,0,0,2,United-States,>50K
26.0,Private,341818.0,Prof-school,Divorced,Sales,Not-in-family,White,Female,0,1,0,United-States,>50K
31.0,Self-emp-not-inc,281253.0,Masters,Never-married,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
33.0,Private,287619.0,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
28.0,Private,288150.0,Some-college,Never-married,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,<=50K
30.0,Private,300586.0,Some-college,Divorced,Adm-clerical,Husband,White,Male,1,0,1,United-States,<=50K
33.0,Local-gov,315139.0,Assoc-acdm,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,1,1,United-States,<=50K
31.0,Private,340575.0,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,2,United-States,<=50K
30.0,Private,294431.0,Some-college,Never-married,Prof-specialty,Wife,White,Male,0,0,0,United-States,<=50K
27.0,Private,343720.0,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
32.0,Private,268579.0,Masters,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,>50K
31.0,Private,302439.0,Bachelors,Divorced,Protective-serv,Wife,White,Male,0,0,0,United-States,<=50K
32.0,Private,251262.0,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,1,0,0,United-States,<=50K
33.0,Private,287461.0,Some-college,Divorced,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
29.0,Self-emp-not-inc,300841.0,5th-6th,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,2,United-States,<=50K
24.0,Private,328051.0,Doctorate,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
33.0,Private,328423.0,Doctorate,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,1,2,United-States,>50K
27.0,Private,304105.0,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,1,0,0,United-States,>50K
29.0,Private,322127.0,Some-college,Never-married,Sales,Unmarried,White,Female,0,1,2,United-States,>50K
28.0,Private,309547.0,HS-grad,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,1,1,United-States,<=50K
28.0,Private,326175.0,Masters,Divorced,Other-service,Other-relative,Black,Female,0,0,0,United-States,>50K
22.0,Private,326557.0,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0,United-States,<=50K
33.0,Private,286208.0,HS-grad,Divorced,Sales,Unmarried,White,Male,0,0,2,United-States,>50K
32.0,Local-gov,261963.0,Assoc-voc,Never-married,Prof-specialty,Wife,White,Female,1,0,2,United-States,>50K
36.0,Private,317093.0,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
24.0,Private,288204.0,Masters,Never-married,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
29.0,Private,275468.0,Some-college,Never-married,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K
32.0,Private,272937.0,Assoc-acdm,Married-civ-spouse,Sales,Own-child,White,Male,0,0,2,United-States,>50K
28.0,Private,289855.0,Doctorate,Never-married,Exec-managerial,Husband,White,Female,1,0,2,United-States,<=50K
30.0,Private,306899.0,Doctorate,Never-married,Craft-repair,Wife,White,Male,0,0,2,United-States,<=50K
30.0,Private,279805.0,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,>50K
31.0,Private,306158.0,Some-college,Never-married,Tech-support,Unmarried,White,Female,0,0,1,United-States,<=50K
28.0,Private,296168.0,Some-college,Divorced,Transport-moving,Own-child,White,Male,0,0,2,United-States,>50K
32.0,Private,297834.0,Doctorate,Divorced,Transport-moving,Own-child,White,Male,0,0,0,United-States,<=50K
36.0,Private,280083.0,HS-grad,Divorced,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
31.0,Private,290916.0,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,0,2,United-States,>50K
