age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
44,Local-gov,190246,Masters,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,0,Japan,>50K
47,Private,114391,Some-college,Separated,Exec-managerial,Not-in-family,White,Male,0,0,0,Mexico,<=50K
43,Local-gov,151970,Assoc-voc,Never-married,Sales,Husband,White,Male,0,0,0,Mexico,<=50K
48,Private,129408,Some-college,Never-married,Craft-repair,Husband,White,Female,0,0,0,Japan,<=50K
48,Private,155449,Masters,Widowed,Craft-repair,Husband,White,Male,0,0,0,Japan,<=50K
44,Private,141169,Some-college,Never-married,Adm-clerical,Husband,White,Female,0,0,0,Philippines,>50K
48,Private,108434,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,0,Mexico,<=50K
42,Private,201685,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Female,1,0,0,Japan,>50K
46,Local-gov,77055,Some-college,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0,0,Philippines,<=50K
49,Private,121033,HS-grad,Never-married,Craft-repair,Husband,White,Male,0,1,0,Mexico,<=50K
48,Local-gov,120413,Some-college,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,0,Mexico,<=50K
45,Private,179822,7th-8th,Divorced,Other-service,Not-in-family,White,Female,0,1,0,Japan,>50K
45,Private,163626,Some-college,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,0,Mexico,<=50K
47,Local-gov,105311,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,Mexico,<=50K
44,Self-emp-not-inc,185026,7th-8th,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,0,Japan,<=50K
45,Private,148344,Some-college,Married-civ-spouse,Sales,Own-child,White,Male,0,0,0,Japan,<=50K
50,Local-gov,118644,HS-grad,Never-married,Prof-specialty,Husband,White,Male,0,0,0,Mexico,<=50K
44,Private,200795,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Female,0,1,0,Japan,<=50K
43,Private,194934,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,1,0,0,Japan,>50K
44,Local-gov,159101,11th,Married-AF-spouse,Adm-clerical,Wife,White,Male,1,0,0,Japan,<=50K
53,Private,81492,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,0,0,0,Mexico,<=50K
43,Private,195418,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,1,0,0,Japan,<=50K
46,Private,160572,HS-grad,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,0,Japan,<=50K
47,Private,137609,Some-college,Separated,Adm-clerical,Husband,White,Female,0,0,0,Japan,>50K
45,Self-emp-not-inc,217669,Masters,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,0,Japan,<=50K
49,Local-gov,104895,Some-college,Never-married,Sales,Husband,White,Male,0,0,0,Mexico,<=50K
48,Private,129030,Some-college,Never-married,Transport-moving,Husband,White,Male,0,0,0,Japan,<=50K
47,Local-gov,189975,Assoc-voc,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,0,Japan,<=50K
47,Private,123572,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0,Mexico,<=50K
44,Local-gov,200429,7th-8th,Married-civ-spouse,Other-service,Husband,White,Female,0,0,0,Japan,<=50K
45,Private,142592,HS-grad,Never-married,Craft-repair,Husband,White,Male,0,0,0,Mexico,<=50K
43,Local-gov,187496,Assoc-voc,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,0,Japan,<=50K
45,Private,219908,7th-8th,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,1,0,0,Japan,<=50K
49,Local-gov,149471,HS-grad,Separated,Adm-clerical,Unmarried,White,Male,1,0,0,Mexico,>50K
49,Local-gov,101760,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,0,Mexico,>50K
47,Private,113686,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,0,Japan,<=50K
46,Local-gov,163267,HS-grad,Never-married,Exec-managerial,Husband,White,Male,0,0,0,Japan,<=50K
50,Local-gov,101454,HS-grad,Never-married,Craft-repair,Own-child,White,Female,0,0,0,Mexico,>50K
42,Private,178131,10th,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,0,Japan,<=50K
49,Private,63343,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,0,Mexico,<=50K
42,Local-gov,146254,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0,Japan,>50K
46,Private,138013,Some-college,Never-married,Other-service,Not-in-family,White,Male,0,0,0,Japan,<=50K
43,Private,144963,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,0,Japan,>50K
42,Local-gov,167301,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,0,Puerto-Rico,>50K
47,Private,148879,Prof-school,Married-civ-spouse,Sales,Wife,White,Male,0,0,0,Japan,<=50K
46,Private,175946,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,Japan,<=50K
42,Private,179459,Masters,Married-civ-spouse,Sales,Wife,White,Female,0,0,0,Japan,>50K
47,Self-emp-inc,120711,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,1,0,0,Mexico,>50K
46,Local-gov,129343,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,Mexico,>50K
44,Local-gov,145146,Assoc-voc,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,0,Japan,<=50K
46,Private,148475,HS-grad,Never-married,Other-service,Husband,White,Male,0,0,0,Mexico,<=50K
48,Private,142211,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0,Japan,<=50K
44,Private,152520,HS-grad,Never-married,Other-service,Husband,White,Male,0,0,0,Mexico,<=50K
40,Private,188237,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,Japan,>50K
44,Private,165576,Assoc-voc,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,0,Japan,<=50K
44,Private,184468,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,0,Japan,<=50K
46,Private,126428,HS-grad,Never-married,Transport-moving,Own-child,White,Male,1,1,0,Mexico,<=50K
47,Local-gov,111003,Assoc-acdm,Never-married,Prof-specialty,Husband,White,Male,0,0,0,Mexico,<=50K
46,Private,195318,Prof-school,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,0,Japan,<=50K
45,Private,154869,Assoc-voc,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,0,Japan,<=50K
46,Local-gov,138538,Some-college,Divorced,Adm-clerical,Other-relative,White,Male,0,0,0,Japan,<=50K
46,Self-emp-not-inc,154816,7th-8th,Divorced,Sales,Not-in-family,White,Male,0,0,0,Mexico,>50K
43,Private,171396,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,0,Japan,<=50K
47,Local-gov,132205,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,Mexico,>50K
45,Local-gov,158885,HS-grad,Never-married,Transport-moving,Husband,White,Male,0,0,0,Japan,>50K
45,Private,182060,Masters,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,0,Japan,>50K
46,Private,95210,HS-grad,Never-married,Sales,Husband,White,Male,0,0,0,Mexico,<=50K
48,Private,124512,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,0,Japan,<=50K
45,Private,144316,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,0,Japan,<=50K
46,Private,123404,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,0,Philippines,>50K
43,Private,167493,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,Japan,>50K
45,Local-gov,137337,Some-college,Never-married,Exec-managerial,Husband,White,Male,0,0,0,Mexico,<=50K
45,Local-gov,154659,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,Japan,<=50K
48,Private,136685,Assoc-voc,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,0,Mexico,<=50K
51,Local-gov,40965,HS-grad,Never-married,Other-service,Husband,White,Female,0,0,0,Mexico,<=50K
45,Local-gov,212611,HS-grad,Married-AF-spouse,Transport-moving,Unmarried,White,Female,0,0,0,Japan,<=50K
43,Private,213070,Some-college,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,0,Japan,<=50K
47,Local-gov,129980,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,Japan,<=50K
50,Private,107589,Some-college,Divorced,Adm-clerical,Own-child,White,Female,0,1,0,Mexico,<=50K
50,Private,111178,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0,Mexico,<=50K
46,Private,165582,Masters,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,0,Japan,<=50K
46,Local-gov,134913,HS-grad,Never-married,Farming-fishing,Husband,White,Male,0,0,0,Mexico,<=50K
48,Private,117399,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,Mexico,<=50K
44,Local-gov,178615,HS-grad,Never-married,Sales,Husband,White,Male,0,0,0,Japan,>50K
44,Local-gov,212113,HS-grad,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,0,Japan,>50K
50,Private,55567,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0,Mexico,>50K
