age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
30.0,0.0,204470.0,0,0,0.0,0,0,0,0,0,0,0.0,1
26.0,1.0,48853.0,1,1,1.0,1,0,1,0,0,0,1.0,0
37.0,2.0,261241.0,0,0,1.0,0,0,0,0,1,2,0.0,0
38.0,2.0,48093.0,2,0,2.0,0,0,0,0,0,0,0.0,0
37.0,2.0,201141.0,2,2,2.0,2,0,1,0,0,0,0.0,0
54.0,2.0,100933.0,2,1,3.0,2,0,1,0,0,0,0.0,0
33.0,2.0,236013.0,3,0,0.0,3,0,1,0,0,2,0.0,1
25.0,2.0,404616.0,4,0,0.0,0,0,0,0,0,0,0.0,1
38.0,2.0,152237.0,4,1,4.0,1,0,0,0,0,1,,1
30.0,2.0,121142.0,4,1,4.0,1,0,0,0,0,0,0.0,1
46.0,3.0,232220.0,1,2,0.0,1,0,0,0,0,2,0.0,1
19.0,,264767.0,2,1,,4,0,0,0,0,0,0.0,0
24.0,1.0,44075.0,4,1,5.0,1,1,0,0,0,0,0.0,0
24.0,2.0,30656.0,0,1,6.0,1,0,0,0,0,0,0.0,0
56.0,4.0,285832.0,1,0,4.0,3,0,1,0,0,2,0.0,0
61.0,2.0,183735.0,0,0,4.0,0,0,0,0,0,1,0.0,1
18.0,2.0,477083.0,5,1,4.0,1,0,0,0,0,0,0.0,0
25.0,2.0,298225.0,0,0,7.0,0,0,0,0,0,0,0.0,0
35.0,2.0,337239.0,2,0,2.0,0,0,0,0,0,0,2.0,0
58.0,2.0,144092.0,1,0,5.0,0,0,0,0,0,0,0.0,1
60.0,1.0,286253.0,2,3,8.0,1,0,0,0,0,0,0.0,0
51.0,2.0,392286.0,2,0,7.0,0,0,0,0,0,0,0.0,1
62.0,2.0,257277.0,2,4,3.0,1,0,1,0,0,0,0.0,0
31.0,2.0,36222.0,2,5,8.0,1,0,0,0,0,2,0.0,0
45.0,2.0,48271.0,0,0,3.0,3,0,1,0,0,0,0.0,1
47.0,4.0,182474.0,2,0,0.0,3,0,1,0,0,0,0.0,0
40.0,2.0,166088.0,6,4,3.0,2,0,1,0,0,0,0.0,0
38.0,2.0,304001.0,2,0,9.0,0,0,0,0,0,0,0.0,1
33.0,2.0,229732.0,4,1,4.0,1,0,0,0,0,1,0.0,1
34.0,2.0,104293.0,3,1,1.0,2,0,1,0,0,0,0.0,0
22.0,2.0,106615.0,4,1,0.0,4,0,1,0,0,0,0.0,0
17.0,,159771.0,7,1,,4,2,0,0,0,0,3.0,0
31.0,4.0,132705.0,2,0,9.0,0,0,0,0,0,2,0.0,0
42.0,2.0,49255.0,1,0,5.0,0,0,0,1,0,0,0.0,1
18.0,2.0,302712.0,2,1,6.0,1,0,1,0,0,0,0.0,0
57.0,2.0,207604.0,8,4,6.0,1,0,1,0,0,0,0.0,0
28.0,2.0,50814.0,2,1,3.0,1,0,1,0,0,0,0.0,0
18.0,2.0,197600.0,5,1,8.0,4,0,0,0,0,0,0.0,0
59.0,2.0,194573.0,9,0,2.0,0,2,0,0,0,0,0.0,1
38.0,2.0,207202.0,2,0,2.0,0,0,0,0,0,2,0.0,1
35.0,2.0,144401.0,4,0,5.0,3,1,1,0,0,0,4.0,1
45.0,2.0,40666.0,4,0,5.0,0,0,0,0,0,0,5.0,0
42.0,3.0,261899.0,1,0,5.0,0,0,0,0,0,2,0.0,1
28.0,2.0,292120.0,0,1,3.0,4,0,1,0,0,1,0.0,0
36.0,2.0,269042.0,2,0,2.0,0,1,0,0,0,0,6.0,0
59.0,1.0,100931.0,2,0,3.0,0,0,0,0,0,0,0.0,1
27.0,2.0,148429.0,2,0,7.0,0,0,0,0,0,2,0.0,0
46.0,2.0,295334.0,10,0,5.0,0,0,0,0,0,2,0.0,1
62.0,2.0,588484.0,4,0,4.0,0,0,0,0,0,0,0.0,1
63.0,2.0,114011.0,5,2,6.0,1,0,1,0,0,0,0.0,0
56.0,0.0,165881.0,2,0,4.0,0,0,0,0,0,2,0.0,1
51.0,2.0,123703.0,2,0,2.0,0,0,0,1,0,0,0.0,1
37.0,2.0,312766.0,2,2,6.0,1,0,1,0,0,0,0.0,0
41.0,2.0,274363.0,0,5,4.0,1,0,0,0,0,2,0.0,1
55.0,2.0,173832.0,1,2,4.0,1,0,0,1,0,0,0.0,1
53.0,2.0,191565.0,11,2,6.0,2,2,1,0,0,0,7.0,0
30.0,2.0,170130.0,2,2,3.0,2,0,1,0,0,0,0.0,0
40.0,2.0,199689.0,2,2,6.0,1,0,1,0,0,0,0.0,0
43.0,2.0,191982.0,6,1,3.0,4,0,1,0,0,2,0.0,0
67.0,0.0,330144.0,1,0,4.0,0,0,0,0,0,2,0.0,1
52.0,2.0,152234.0,2,0,0.0,0,1,0,1,0,0,8.0,1
32.0,2.0,36467.0,3,0,3.0,0,0,0,0,0,1,0.0,1
44.0,3.0,145178.0,2,0,6.0,3,2,1,0,0,0,9.0,1
36.0,3.0,74593.0,0,0,0.0,0,0,0,0,0,0,0.0,0
28.0,2.0,356555.0,0,0,0.0,0,0,0,0,0,2,0.0,0
34.0,2.0,212064.0,2,5,3.0,2,0,1,1,0,0,0.0,0
45.0,5.0,198660.0,0,0,5.0,0,0,0,0,0,0,0.0,1
60.0,2.0,125832.0,2,2,5.0,1,0,1,0,0,2,10.0,0
40.0,2.0,179557.0,4,2,0.0,1,0,0,0,0,0,0.0,0
66.0,2.0,117746.0,4,0,4.0,0,0,0,0,0,2,0.0,1
42.0,2.0,67243.0,11,0,3.0,0,0,0,0,0,2,11.0,1
64.0,4.0,169604.0,2,0,9.0,0,0,0,0,0,0,0.0,1
30.0,3.0,164493.0,0,1,3.0,4,0,1,0,0,0,0.0,0
51.0,4.0,168539.0,2,0,10.0,0,0,0,0,0,2,0.0,0
45.0,2.0,176917.0,2,1,8.0,5,0,0,0,0,0,0.0,0
31.0,2.0,196227.0,2,5,6.0,1,0,1,0,0,0,0.0,0
48.0,1.0,435503.0,1,0,5.0,0,0,0,0,0,0,0.0,1
53.0,2.0,56213.0,0,0,0.0,0,0,0,0,0,1,0.0,1
45.0,5.0,130206.0,2,2,3.0,5,0,1,0,0,0,0.0,0
31.0,2.0,168906.0,4,2,0.0,1,0,1,0,0,2,0.0,1
20.0,2.0,94364.0,0,1,5.0,1,3,1,0,0,0,0.0,0
54.0,1.0,89705.0,0,0,9.0,0,0,0,0,0,0,0.0,1
34.0,2.0,217460.0,4,0,0.0,0,0,0,0,0,1,0.0,1
