age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
30.0,Self-emp-inc,204470.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,>50K
26.0,Federal-gov,48853.0,Masters,Never-married,Tech-support,Not-in-family,White,Female,0,0,0,Cuba,<=50K
37.0,Private,261241.0,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,1,2,United-States,<=50K
38.0,Private,48093.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,<=50K
37.0,Private,201141.0,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,0,United-States,<=50K
54.0,Private,100933.0,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,0,United-States,<=50K
33.0,Private,236013.0,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
25.0,Private,404616.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,>50K
38.0,Private,152237.0,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,1,,>50K
30.0,Private,121142.0,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,>50K
46.0,Local-gov,232220.0,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,>50K
19.0,,264767.0,HS-grad,Never-married,,Own-child,White,Male,0,0,0,United-States,<=50K
24.0,Federal-gov,44075.0,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,0,United-States,<=50K
24.0,Private,30656.0,Some-college,Never-married,Other-service,Not-in-family,White,Male,0,0,0,United-States,<=50K
56.0,Self-emp-not-inc,285832.0,Masters,Married-civ-spouse,Sales,Wife,White,Female,0,0,2,United-States,<=50K
61.0,Private,183735.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,>50K
18.0,Private,477083.0,11th,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,<=50K
25.0,Private,298225.0,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,<=50K
35.0,Private,337239.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,Mexico,<=50K
58.0,Private,144092.0,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
60.0,Federal-gov,286253.0,HS-grad,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,0,0,United-States,<=50K
51.0,Private,392286.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,>50K
62.0,Private,257277.0,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
31.0,Private,36222.0,HS-grad,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
45.0,Private,48271.0,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0,United-States,>50K
47.0,Self-emp-not-inc,182474.0,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0,United-States,<=50K
40.0,Private,166088.0,Assoc-voc,Widowed,Adm-clerical,Unmarried,White,Female,0,0,0,United-States,<=50K
38.0,Private,304001.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,>50K
33.0,Private,229732.0,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,>50K
34.0,Private,104293.0,Assoc-acdm,Never-married,Tech-support,Unmarried,White,Female,0,0,0,United-States,<=50K
22.0,Private,106615.0,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,0,0,0,United-States,<=50K
17.0,,159771.0,10th,Never-married,,Own-child,Black,Male,0,0,0,England,<=50K
31.0,Self-emp-not-inc,132705.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
42.0,Private,49255.0,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,0,United-States,>50K
18.0,Private,302712.0,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,0,United-States,<=50K
57.0,Private,207604.0,7th-8th,Widowed,Other-service,Not-in-family,White,Female,0,0,0,United-States,<=50K
28.0,Private,50814.0,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
18.0,Private,197600.0,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
59.0,Private,194573.0,12th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,0,United-States,>50K
